OG,Gene,Species
N2.HOG0000396,scaffold1521.g5,Aurelia
N2.HOG0000397,scaffold1849.g2,Aurelia
N2.HOG0000400,scaffold132.g2,Aurelia
N2.HOG0000401,scaffold1088.g13,Aurelia
N2.HOG0000402,scaffold307.g1,Aurelia
N2.HOG0000404,scaffold2438.g3,Aurelia
N2.HOG0000405,scaffold1406.g1,Aurelia
N2.HOG0000406,scaffold1887.g2,Aurelia
N2.HOG0000407,scaffold411.g4,Aurelia
N2.HOG0000408,scaffold724.g2,Aurelia
N2.HOG0000409,scaffold2720.g3,Aurelia
N2.HOG0000410,scaffold3227.g2,Aurelia
N2.HOG0000411,scaffold642.g1,Aurelia
N2.HOG0000412,scaffold131.g14,Aurelia
N2.HOG0000413,scaffold2200.g2,Aurelia
N2.HOG0000414,scaffold29.g51,Aurelia
N2.HOG0000415,scaffold470.g1,Aurelia
N2.HOG0000422,scaffold546.g12,Aurelia
N2.HOG0000423,scaffold284.g11,Aurelia
N2.HOG0000427,scaffold1230.g1,Aurelia
N2.HOG0000428,scaffold1577.g3,Aurelia
N2.HOG0000432,scaffold1787.g1,Aurelia
N2.HOG0000439,scaffold2074.g1,Aurelia
N2.HOG0000443,scaffold1684.g4,Aurelia
N2.HOG0000444,scaffold209.g3,Aurelia
N2.HOG0000445,scaffold93.g28,Aurelia
N2.HOG0000446,scaffold37.g32,Aurelia
N2.HOG0000450,scaffold107.g30,Aurelia
N2.HOG0000451,scaffold63.g8,Aurelia
N2.HOG0000452,scaffold2209.g3,Aurelia
N2.HOG0000454,scaffold2037.g2,Aurelia
N2.HOG0000455,scaffold931.g1,Aurelia
N2.HOG0000457,scaffold414.g9,Aurelia
N2.HOG0000458,scaffold3068.g2,Aurelia
N2.HOG0000459,scaffold5362.g1,Aurelia
N2.HOG0000460,scaffold1289.g5,Aurelia
N2.HOG0000461,scaffold2341.g1,Aurelia
N2.HOG0000463,scaffold62.g5,Aurelia
N2.HOG0000464,scaffold5004.g1,Aurelia
N2.HOG0000465,scaffold1981.g3,Aurelia
N2.HOG0000466,scaffold4697.g2,Aurelia
N2.HOG0000468,scaffold1640.g2,Aurelia
N2.HOG0000469,scaffold1273.g5,Aurelia
N2.HOG0000471,scaffold212.g10,Aurelia
N2.HOG0000472,scaffold2934.g1,Aurelia
N2.HOG0000475,scaffold151.g12,Aurelia
N2.HOG0000476,scaffold7236.g1,Aurelia
N2.HOG0000478,scaffold1512.g5,Aurelia
N2.HOG0000479,scaffold1117.g6,Aurelia
N2.HOG0000480,scaffold1507.g2,Aurelia
N2.HOG0000481,scaffold3524.g1,Aurelia
N2.HOG0000482,scaffold2775.g2,Aurelia
N2.HOG0000487,scaffold2123.g1,Aurelia
N2.HOG0000491,scaffold1713.g3,Aurelia
N2.HOG0000492,scaffold1713.g2,Aurelia
N2.HOG0000494,scaffold194.g15,Aurelia
N2.HOG0000503,scaffold4240.g2,Aurelia
N2.HOG0000504,scaffold1726.g3,Aurelia
N2.HOG0000506,scaffold967.g1,Aurelia
N2.HOG0000509,scaffold884.g3,Aurelia
N2.HOG0000512,scaffold894.g1,Aurelia
N2.HOG0000519,scaffold1741.g1,Aurelia
N2.HOG0000520,scaffold1721.g2,Aurelia
N2.HOG0000522,scaffold1021.g5,Aurelia
N2.HOG0000524,scaffold1129.g2,Aurelia
N2.HOG0000525,scaffold3148.g2,Aurelia
N2.HOG0000531,scaffold1704.g1,Aurelia
N2.HOG0000532,scaffold3369.g2,Aurelia
N2.HOG0000534,scaffold48.g31,Aurelia
N2.HOG0000536,scaffold615.g10,Aurelia
N2.HOG0000538,scaffold2129.g2,Aurelia
N2.HOG0000539,scaffold853.g3,Aurelia
N2.HOG0000540,scaffold602.g13,Aurelia
N2.HOG0000542,scaffold1965.g4,Aurelia
N2.HOG0000543,scaffold13.g31,Aurelia
N2.HOG0000545,scaffold117.g3,Aurelia
N2.HOG0000546,scaffold2265.g2,Aurelia
N2.HOG0000549,scaffold67.g38,Aurelia
N2.HOG0000550,scaffold3296.g1,Aurelia
N2.HOG0000551,scaffold1837.g3,Aurelia
N2.HOG0000554,scaffold329.g12,Aurelia
N2.HOG0000555,scaffold286.g12,Aurelia
N2.HOG0000556,scaffold282.g9,Aurelia
N2.HOG0000558,scaffold341.g12,Aurelia
N2.HOG0000563,scaffold34.g8,Aurelia
N2.HOG0000564,scaffold810.g10,Aurelia
N2.HOG0000565,scaffold849.g9,Aurelia
N2.HOG0000567,scaffold3587.g1,Aurelia
N2.HOG0000571,scaffold1460.g1,Aurelia
N2.HOG0000572,scaffold756.g2,Aurelia
N2.HOG0000573,scaffold3.g47,Aurelia
N2.HOG0000575,scaffold281.g3,Aurelia
N2.HOG0000576,scaffold433.g6,Aurelia
N2.HOG0000579,scaffold433.g2,Aurelia
N2.HOG0000580,scaffold3694.g3,Aurelia
N2.HOG0000581,scaffold394.g1,Aurelia
N2.HOG0000582,scaffold33.g37,Aurelia
N2.HOG0000584,scaffold2111.g3,Aurelia
N2.HOG0000588,scaffold1399.g5,Aurelia
N2.HOG0000589,scaffold2058.g2,Aurelia
N2.HOG0000590,scaffold942.g10,Aurelia
N2.HOG0000591,scaffold2203.g2,Aurelia
N2.HOG0000592,scaffold744.g1,Aurelia
N2.HOG0000594,scaffold434.g13,Aurelia
N2.HOG0000595,scaffold169.g4,Aurelia
N2.HOG0000596,scaffold767.g15,Aurelia
N2.HOG0000597,scaffold868.g3,Aurelia
N2.HOG0000601,scaffold13.g16,Aurelia
N2.HOG0000602,scaffold303.g5,Aurelia
N2.HOG0000603,scaffold219.g11,Aurelia
N2.HOG0000604,scaffold43.g7,Aurelia
N2.HOG0000605,scaffold995.g7,Aurelia
N2.HOG0000611,scaffold2747.g1,Aurelia
N2.HOG0000612,scaffold892.g2,Aurelia
N2.HOG0000613,scaffold2755.g1,Aurelia
N2.HOG0000615,scaffold1804.g1,Aurelia
N2.HOG0000616,scaffold3019.g2,Aurelia
N2.HOG0000617,scaffold2077.g3,Aurelia
N2.HOG0000618,scaffold698.g3,Aurelia
N2.HOG0000619,scaffold2173.g2,Aurelia
N2.HOG0000620,scaffold1572.g5,Aurelia
N2.HOG0000623,scaffold4.g5,Aurelia
N2.HOG0000626,scaffold222.g11,Aurelia
N2.HOG0000627,scaffold916.g8,Aurelia
N2.HOG0000631,scaffold1077.g2,Aurelia
N2.HOG0000645,scaffold1826.g9,Aurelia
N2.HOG0000646,scaffold5.g58,Aurelia
N2.HOG0000648,scaffold254.g2,Aurelia
N2.HOG0000651,scaffold2086.g1,Aurelia
N2.HOG0000652,scaffold151.g18,Aurelia
N2.HOG0000653,scaffold401.g9,Aurelia
N2.HOG0000660,scaffold781.g12,Aurelia
N2.HOG0000661,scaffold5701.g1,Aurelia
N2.HOG0000664,scaffold572.g1,Aurelia
N2.HOG0000665,scaffold137.g10,Aurelia
N2.HOG0000667,scaffold818.g3,Aurelia
N2.HOG0000669,scaffold282.g11,Aurelia
N2.HOG0000670,scaffold122.g18,Aurelia
N2.HOG0000671,scaffold322.g6,Aurelia
N2.HOG0000672,scaffold2265.g7,Aurelia
N2.HOG0000673,scaffold3401.g2,Aurelia
N2.HOG0000674,scaffold414.g12,Aurelia
N2.HOG0000675,scaffold4000.g2,Aurelia
N2.HOG0000676,scaffold73.g3,Aurelia
N2.HOG0000680,scaffold1564.g6,Aurelia
N2.HOG0000681,scaffold401.g3,Aurelia
N2.HOG0000686,scaffold189.g23,Aurelia
N2.HOG0000689,scaffold632.g7,Aurelia
N2.HOG0000691,scaffold626.g14,Aurelia
N2.HOG0000692,scaffold588.g19,Aurelia
N2.HOG0000694,scaffold2842.g1,Aurelia
N2.HOG0000695,scaffold4636.g1,Aurelia
N2.HOG0000701,scaffold2643.g4,Aurelia
N2.HOG0000702,scaffold549.g9,Aurelia
N2.HOG0000703,scaffold2407.g3,Aurelia
N2.HOG0000705,scaffold2773.g5,Aurelia
N2.HOG0000708,scaffold261.g11,Aurelia
N2.HOG0000709,scaffold3533.g1,Aurelia
N2.HOG0000712,scaffold29.g7,Aurelia
N2.HOG0000714,scaffold4217.g1,Aurelia
N2.HOG0000715,scaffold1564.g6,Aurelia
N2.HOG0000716,scaffold1562.g4,Aurelia
N2.HOG0000717,scaffold1944.g4,Aurelia
N2.HOG0000718,scaffold2014.g4,Aurelia
N2.HOG0000719,scaffold3266.g1,Aurelia
N2.HOG0000720,scaffold619.g5,Aurelia
N2.HOG0000721,scaffold1135.g7,Aurelia
N2.HOG0000722,scaffold4608.g1,Aurelia
N2.HOG0000723,scaffold476.g5,Aurelia
N2.HOG0000725,scaffold3900.g1,Aurelia
N2.HOG0000727,scaffold2685.g1,Aurelia
N2.HOG0000729,scaffold766.g5,Aurelia
N2.HOG0000732,scaffold353.g4,Aurelia
N2.HOG0000733,scaffold2450.g3,Aurelia
N2.HOG0000734,scaffold2303.g1,Aurelia
N2.HOG0000735,scaffold1247.g8,Aurelia
N2.HOG0000736,scaffold915.g2,Aurelia
N2.HOG0000738,scaffold303.g3,Aurelia
N2.HOG0000740,scaffold466.g1,Aurelia
N2.HOG0000741,scaffold2696.g1,Aurelia
N2.HOG0000742,scaffold505.g7,Aurelia
N2.HOG0000743,scaffold1078.g7,Aurelia
N2.HOG0000744,scaffold1896.g2,Aurelia
N2.HOG0000747,scaffold1532.g9,Aurelia
N2.HOG0000748,scaffold3483.g2,Aurelia
N2.HOG0000749,scaffold369.g15,Aurelia
N2.HOG0000750,scaffold42.g30,Aurelia
N2.HOG0000751,scaffold2393.g1,Aurelia
N2.HOG0000754,scaffold1490.g3,Aurelia
N2.HOG0000757,scaffold1354.g1,Aurelia
N2.HOG0000758,scaffold794.g8,Aurelia
N2.HOG0000766,scaffold1508.g6,Aurelia
N2.HOG0000772,scaffold1049.g4,Aurelia
N2.HOG0000774,scaffold221.g12,Aurelia
N2.HOG0000779,scaffold628.g9,Aurelia
N2.HOG0000782,scaffold440.g2,Aurelia
N2.HOG0000784,scaffold519.g11,Aurelia
N2.HOG0000785,scaffold989.g3,Aurelia
N2.HOG0000787,scaffold4161.g1,Aurelia
N2.HOG0000788,scaffold421.g7,Aurelia
N2.HOG0000789,scaffold2052.g2,Aurelia
N2.HOG0000791,scaffold290.g14,Aurelia
N2.HOG0000792,scaffold1537.g3,Aurelia
N2.HOG0000793,scaffold165.g21,Aurelia
N2.HOG0000794,scaffold1513.g2,Aurelia
N2.HOG0000795,scaffold990.g6,Aurelia
N2.HOG0000798,scaffold37.g32,Aurelia
N2.HOG0000802,scaffold194.g22,Aurelia
N2.HOG0000804,scaffold291.g5,Aurelia
N2.HOG0000805,scaffold291.g6,Aurelia
N2.HOG0000806,scaffold570.g5,Aurelia
N2.HOG0000809,scaffold2164.g2,Aurelia
N2.HOG0000811,scaffold4536.g1,Aurelia
N2.HOG0000812,scaffold2083.g1,Aurelia
N2.HOG0000813,scaffold3520.g2,Aurelia
N2.HOG0000814,scaffold693.g12,Aurelia
N2.HOG0000815,scaffold2935.g1,Aurelia
N2.HOG0000816,scaffold2114.g2,Aurelia
N2.HOG0000817,scaffold1926.g3,Aurelia
N2.HOG0000818,scaffold1675.g4,Aurelia
N2.HOG0000819,scaffold825.g5,Aurelia
N2.HOG0000820,scaffold126.g27,Aurelia
N2.HOG0000821,scaffold265.g13,Aurelia
N2.HOG0000826,scaffold2798.g1,Aurelia
N2.HOG0000827,scaffold90.g9,Aurelia
N2.HOG0000828,scaffold165.g25,Aurelia
N2.HOG0000829,scaffold751.g6,Aurelia
N2.HOG0000832,scaffold4671.g1,Aurelia
N2.HOG0000834,scaffold1814.g3,Aurelia
N2.HOG0000835,scaffold8.g41,Aurelia
N2.HOG0000837,scaffold312.g22,Aurelia
N2.HOG0000838,scaffold606.g10,Aurelia
N2.HOG0000842,scaffold463.g5,Aurelia
N2.HOG0000845,scaffold1217.g3,Aurelia
N2.HOG0000846,scaffold6427.g1,Aurelia
N2.HOG0000847,scaffold1867.g4,Aurelia
N2.HOG0000848,scaffold59.g13,Aurelia
N2.HOG0000849,scaffold513.g17,Aurelia
N2.HOG0000850,scaffold463.g6,Aurelia
N2.HOG0000852,scaffold2795.g2,Aurelia
N2.HOG0000853,scaffold3538.g2,Aurelia
N2.HOG0000854,scaffold143.g5,Aurelia
N2.HOG0000857,scaffold843.g6,Aurelia
N2.HOG0000859,scaffold1432.g8,Aurelia
N2.HOG0000862,scaffold96.g20,Aurelia
N2.HOG0000864,scaffold64.g12,Aurelia
N2.HOG0000865,scaffold216.g7,Aurelia
N2.HOG0000874,scaffold144.g27,Aurelia
N2.HOG0000875,scaffold1982.g5,Aurelia
N2.HOG0000879,scaffold67.g18,Aurelia
N2.HOG0000881,scaffold1587.g1,Aurelia
N2.HOG0000882,scaffold2506.g1,Aurelia
N2.HOG0000887,scaffold194.g14,Aurelia
N2.HOG0000888,scaffold1766.g4,Aurelia
N2.HOG0000890,scaffold81.g9,Aurelia
N2.HOG0000892,scaffold3618.g1,Aurelia
N2.HOG0000893,scaffold2522.g5,Aurelia
N2.HOG0000894,scaffold1522.g4,Aurelia
N2.HOG0000898,scaffold1686.g3,Aurelia
N2.HOG0000899,scaffold1686.g1,Aurelia
N2.HOG0000900,scaffold3552.g1,Aurelia
N2.HOG0000901,scaffold310.g1,Aurelia
N2.HOG0000903,scaffold160.g20,Aurelia
N2.HOG0000904,scaffold1529.g1,Aurelia
N2.HOG0000913,scaffold1208.g8,Aurelia
N2.HOG0000916,scaffold1826.g6,Aurelia
N2.HOG0000918,scaffold842.g2,Aurelia
N2.HOG0000921,scaffold975.g5,Aurelia
N2.HOG0000923,scaffold11.g58,Aurelia
N2.HOG0000925,scaffold1382.g1,Aurelia
N2.HOG0000927,scaffold233.g11,Aurelia
N2.HOG0000928,scaffold327.g5,Aurelia
N2.HOG0000929,scaffold478.g3,Aurelia
N2.HOG0000930,scaffold1169.g5,Aurelia
N2.HOG0000931,scaffold4627.g1,Aurelia
N2.HOG0000932,scaffold2277.g3,Aurelia
N2.HOG0000933,scaffold2488.g5,Aurelia
N2.HOG0000934,scaffold1730.g2,Aurelia
N2.HOG0000935,scaffold2277.g2,Aurelia
N2.HOG0000939,scaffold1476.g5,Aurelia
N2.HOG0000940,scaffold2551.g5,Aurelia
N2.HOG0000941,scaffold122.g12,Aurelia
N2.HOG0000942,scaffold4540.g1,Aurelia
N2.HOG0000943,scaffold4559.g1,Aurelia
N2.HOG0000944,scaffold164.g12,Aurelia
N2.HOG0000945,scaffold194.g1,Aurelia
N2.HOG0000946,scaffold851.g8,Aurelia
N2.HOG0000953,scaffold393.g1,Aurelia
N2.HOG0000954,scaffold1328.g7,Aurelia
N2.HOG0000955,scaffold2159.g1,Aurelia
N2.HOG0000956,scaffold1693.g1,Aurelia
N2.HOG0000957,scaffold446.g13,Aurelia
N2.HOG0000960,scaffold3597.g1,Aurelia
N2.HOG0000962,scaffold3210.g2,Aurelia
N2.HOG0000963,scaffold732.g3,Aurelia
N2.HOG0000964,scaffold1429.g3,Aurelia
N2.HOG0000965,scaffold3843.g1,Aurelia
N2.HOG0000968,scaffold1470.g6,Aurelia
N2.HOG0000969,scaffold536.g4,Aurelia
N2.HOG0000971,scaffold250.g9,Aurelia
N2.HOG0000974,scaffold487.g11,Aurelia
N2.HOG0000978,scaffold567.g1,Aurelia
N2.HOG0000980,scaffold1611.g2,Aurelia
N2.HOG0000981,scaffold950.g3,Aurelia
N2.HOG0000988,scaffold698.g2,Aurelia
N2.HOG0000989,scaffold2173.g1,Aurelia
N2.HOG0000991,scaffold820.g7,Aurelia
N2.HOG0000992,scaffold1251.g4,Aurelia
N2.HOG0000996,scaffold1195.g3,Aurelia
N2.HOG0000999,scaffold6414.g1,Aurelia
N2.HOG0001001,scaffold163.g12,Aurelia
N2.HOG0001003,scaffold336.g12,Aurelia
N2.HOG0001004,scaffold337.g16,Aurelia
N2.HOG0001009,scaffold2680.g1,Aurelia
N2.HOG0001010,scaffold2851.g4,Aurelia
N2.HOG0001011,scaffold1135.g9,Aurelia
N2.HOG0001013,scaffold2180.g4,Aurelia
N2.HOG0001014,scaffold1574.g2,Aurelia
N2.HOG0001016,scaffold547.g14,Aurelia
N2.HOG0001017,scaffold3788.g1,Aurelia
N2.HOG0001019,scaffold182.g15,Aurelia
N2.HOG0001021,scaffold1196.g8,Aurelia
N2.HOG0001022,scaffold1457.g5,Aurelia
N2.HOG0001029,scaffold1761.g2,Aurelia
N2.HOG0001032,scaffold122.g8,Aurelia
N2.HOG0001033,scaffold715.g9,Aurelia
N2.HOG0001034,scaffold1247.g3,Aurelia
N2.HOG0001039,scaffold2287.g1,Aurelia
N2.HOG0001045,scaffold863.g2,Aurelia
N2.HOG0001047,scaffold1883.g2,Aurelia
N2.HOG0001049,scaffold1691.g1,Aurelia
N2.HOG0001050,scaffold1417.g1,Aurelia
N2.HOG0001051,scaffold130.g12,Aurelia
N2.HOG0001052,scaffold854.g7,Aurelia
N2.HOG0001053,scaffold391.g4,Aurelia
N2.HOG0001054,scaffold480.g7,Aurelia
N2.HOG0001055,scaffold1571.g1,Aurelia
N2.HOG0001056,scaffold80.g27,Aurelia
N2.HOG0001063,scaffold423.g1,Aurelia
N2.HOG0001064,scaffold642.g10,Aurelia
N2.HOG0001065,scaffold3080.g3,Aurelia
N2.HOG0001066,scaffold1753.g4,Aurelia
N2.HOG0001067,scaffold2030.g3,Aurelia
