"","GO.ID","Term","Annotated","Significant","Expected","classic","KS"
"49","GO:0050907","detection of chemical stimulus involved ...",11,6,1.07,"0.00026","0.84673"
"50","GO:0032879","regulation of localization",1606,210,156.8,"0.00026","0.96189"
"51","GO:0043270","positive regulation of monoatomic ion tr...",173,34,16.89,"0.00031","0.99915"
"52","GO:0050885","neuromuscular process controlling balanc...",64,16,6.25,"0.00032","0.41431"
"53","GO:0097352","autophagosome maturation",62,16,6.05,"0.00032","0.81282"
"54","GO:0045944","positive regulation of transcription by ...",598,80,58.38,"0.00034","0.71185"
"55","GO:0007635","chemosensory behavior",127,28,12.4,"0.00034","0.98367"
"56","GO:0060441","epithelial tube branching involved in lu...",36,13,3.51,"0.00036","0.81134"
"57","GO:0048645","animal organ formation",78,18,7.62,"0.00037","0.99295"
"58","GO:0008045","motor neuron axon guidance",111,23,10.84,"0.00037","0.92686"
"59","GO:0043065","positive regulation of apoptotic process",448,67,43.74,"0.00037","0.98180"
"60","GO:0033555","multicellular organismal response to str...",65,14,6.35,"0.00042","0.98532"
"61","GO:0021932","hindbrain radial glia guided cell migrat...",16,7,1.56,"0.00043","0.97172"
"62","GO:0035810","positive regulation of urine volume",12,6,1.17,"0.00047","0.98763"
"63","GO:0106070","regulation of adenylate cyclase-activati...",12,6,1.17,"0.00047","0.94192"
"64","GO:0090179","planar cell polarity pathway involved in...",12,6,1.17,"0.00047","0.65508"
"65","GO:0014051","gamma-aminobutyric acid secretion",26,7,2.54,"0.00047","0.92804"
"66","GO:0007026","negative regulation of microtubule depol...",31,10,3.03,"0.00049","0.99982"
"67","GO:0045938","positive regulation of circadian sleep/w...",26,9,2.54,"0.00052","0.93557"
"68","GO:0019933","cAMP-mediated signaling",97,27,9.47,"0.00052","0.95466"
"69","GO:0034504","protein localization to nucleus",252,25,24.6,"0.00053","0.86900"
"70","GO:0016525","negative regulation of angiogenesis",49,14,4.78,"0.00056","0.96377"
"71","GO:0023041","neuronal signal transduction",17,7,1.66,"0.00067","0.98538"
"72","GO:0055075","potassium ion homeostasis",17,7,1.66,"0.00067","0.99530"
"73","GO:0035725","sodium ion transmembrane transport",118,27,11.52,"0.00070","0.40139"
"74","GO:0009584","detection of visible light",62,24,6.05,"0.00073","0.97732"
"75","GO:0007605","sensory perception of sound",131,25,12.79,"0.00076","0.91227"
"76","GO:0035112","genitalia morphogenesis",45,11,4.39,"0.00079","0.99895"
"77","GO:0007185","transmembrane receptor protein tyrosine ...",13,6,1.27,"0.00080","0.73414"
"78","GO:0003146","heart jogging",13,6,1.27,"0.00080","0.99051"
"79","GO:0007163","establishment or maintenance of cell pol...",357,56,34.86,"0.00080","0.97621"
"80","GO:0001666","response to hypoxia",256,42,24.99,"0.00081","0.37284"
"81","GO:0033500","carbohydrate homeostasis",167,22,16.3,"0.00092","0.98703"
"82","GO:0032637","interleukin-8 production",22,7,2.15,"0.00092","0.98979"
"83","GO:0032635","interleukin-6 production",49,9,4.78,"0.00092","0.98978"
"84","GO:2000179","positive regulation of neural precursor ...",43,10,4.2,"0.00099","0.99971"
"85","GO:1903351","cellular response to dopamine",58,11,5.66,"0.00100","0.91591"
"86","GO:0050769","positive regulation of neurogenesis",400,54,39.05,"0.00109","0.47846"
"87","GO:0048793","pronephros development",34,10,3.32,"0.00110","0.54464"
"88","GO:0032663","regulation of interleukin-2 production",18,7,1.76,"0.00114","0.99918"
"89","GO:2001025","positive regulation of response to drug",40,11,3.91,"0.00117","0.99375"
"90","GO:0019228","neuronal action potential",46,12,4.49,"0.00118","0.86309"
"91","GO:0060993","kidney morphogenesis",77,19,7.52,"0.00122","0.09900"
"92","GO:0044070","regulation of monoatomic anion transport",81,13,7.91,"0.00128","0.38039"
"93","GO:0021871","forebrain regionalization",14,6,1.37,"0.00128","0.95238"
"94","GO:0031290","retinal ganglion cell axon guidance",35,10,3.42,"0.00141","0.74730"
"95","GO:0045467","R7 cell development",24,8,2.34,"0.00141","0.78559"
"96","GO:0097366","response to bronchodilator",47,12,4.59,"0.00144","0.99721"
"97","GO:0071498","cellular response to fluid shear stress",19,7,1.86,"0.00145","0.35272"
"98","GO:0018991","egg-laying behavior",112,23,10.93,"0.00147","0.76275"
"99","GO:0046777","protein autophosphorylation",175,28,17.09,"0.00149","0.32833"
"100","GO:0051124","synaptic assembly at neuromuscular junct...",178,34,17.38,"0.00151","0.28094"
"101","GO:0002053","positive regulation of mesenchymal cell ...",30,9,2.93,"0.00167","0.99662"
"102","GO:0007618","mating",116,22,11.33,"0.00168","0.41697"
"103","GO:2000826","regulation of heart morphogenesis",42,11,4.1,"0.00180","0.99648"
"104","GO:0045599","negative regulation of fat cell differen...",25,8,2.44,"0.00190","0.88857"
"105","GO:0035331","negative regulation of hippo signaling",25,8,2.44,"0.00190","0.90116"
"106","GO:0007274","neuromuscular synaptic transmission",75,17,7.32,"0.00194","0.99993"
"107","GO:0048596","embryonic camera-type eye morphogenesis",27,8,2.64,"0.00195","0.91188"
"108","GO:1903409","reactive oxygen species biosynthetic pro...",59,11,5.76,"0.00195","0.92277"
"109","GO:0060572","morphogenesis of an epithelial bud",15,6,1.46,"0.00196","0.99612"
"110","GO:0043951","negative regulation of cAMP-mediated sig...",15,6,1.46,"0.00196","0.99179"
"111","GO:0071910","determination of liver left/right asymme...",15,6,1.46,"0.00196","0.85172"
"112","GO:0097105","presynaptic membrane assembly",15,6,1.46,"0.00196","0.56719"
"113","GO:0009642","response to light intensity",15,6,1.46,"0.00196","0.99945"
"114","GO:2000242","negative regulation of reproductive proc...",78,13,7.62,"0.00204","0.91043"
"115","GO:0048675","axon extension",209,32,20.41,"0.00212","0.77008"
"116","GO:0051930","regulation of sensory perception of pain",31,9,3.03,"0.00215","0.92036"
"117","GO:0040017","positive regulation of locomotion",427,64,41.69,"0.00220","0.96372"
"118","GO:0032224","positive regulation of synaptic transmis...",22,12,2.15,"0.00240","0.66284"
"119","GO:0071773","cellular response to BMP stimulus",128,21,12.5,"0.00241","0.95075"
"120","GO:0045992","negative regulation of embryonic develop...",23,8,2.25,"0.00242","0.99908"
"121","GO:0060372","regulation of atrial cardiac muscle cell...",11,5,1.07,"0.00245","0.81238"
"122","GO:0002726","positive regulation of T cell cytokine p...",11,5,1.07,"0.00245","0.97742"
"123","GO:0098914","membrane repolarization during atrial ca...",11,5,1.07,"0.00245","0.81238"
"124","GO:0045906","negative regulation of vasoconstriction",11,5,1.07,"0.00245","0.84167"
"125","GO:2000136","regulation of cell proliferation involve...",21,7,2.05,"0.00246","0.96920"
"126","GO:0051349","positive regulation of lyase activity",22,7,2.15,"0.00246","0.95615"
"127","GO:0071731","response to nitric oxide",18,6,1.76,"0.00247","0.97652"
"128","GO:0048521","negative regulation of behavior",31,7,3.03,"0.00247","0.76154"
"129","GO:0051580","regulation of neurotransmitter uptake",17,5,1.66,"0.00248","0.76597"
"130","GO:1900373","positive regulation of purine nucleotide...",31,5,3.03,"0.00250","0.95631"
"131","GO:0045665","negative regulation of neuron differenti...",208,33,20.31,"0.00259","0.99662"
"132","GO:0019226","transmission of nerve impulse",85,21,8.3,"0.00265","0.30918"
"133","GO:0045664","regulation of neuron differentiation",601,87,58.68,"0.00272","0.98458"
"134","GO:0016202","regulation of striated muscle tissue dev...",121,24,11.81,"0.00273","0.98582"
"135","GO:0008586","imaginal disc-derived wing vein morphoge...",32,9,3.12,"0.00274","0.39490"
"136","GO:0008285","negative regulation of cell population p...",381,58,37.2,"0.00278","0.91844"
"137","GO:0051823","regulation of synapse structural plastic...",21,7,2.05,"0.00281","0.62012"
"138","GO:0060561","apoptotic process involved in morphogene...",21,7,2.05,"0.00281","0.65671"
"139","GO:0046620","regulation of organ growth",128,20,12.5,"0.00282","0.94994"
"140","GO:0042542","response to hydrogen peroxide",88,12,8.59,"0.00286","0.44236"
"141","GO:0007263","nitric oxide mediated signal transductio...",16,6,1.56,"0.00288","0.99787"
"142","GO:2000095","regulation of Wnt signaling pathway, pla...",16,6,1.56,"0.00288","0.99866"
"143","GO:0032526","response to retinoic acid",57,14,5.57,"0.00319","0.99446"
"144","GO:1901046","positive regulation of egg-laying behavi...",27,8,2.64,"0.00327","0.55367"
"145","GO:0001701","in utero embryonic development",296,40,28.9,"0.00333","0.98104"
"146","GO:0014056","regulation of acetylcholine secretion, n...",19,11,1.86,"0.00335","0.99936"
"147","GO:0060341","regulation of cellular localization",838,108,81.82,"0.00335","0.98239"
"148","GO:0044062","regulation of excretion",32,9,3.12,"0.00340","0.99000"
"149","GO:0003283","atrial septum development",16,6,1.56,"0.00341","0.99706"
"150","GO:0032288","myelin assembly",39,10,3.81,"0.00341","0.93830"
"151","GO:0071384","cellular response to corticosteroid stim...",54,9,5.27,"0.00342","0.99985"
"152","GO:0007156","homophilic cell adhesion via plasma memb...",66,17,6.44,"0.00347","0.89300"
"153","GO:0006357","regulation of transcription by RNA polym...",1107,146,108.08,"0.00353","0.83340"
"154","GO:0002026","regulation of the force of heart contrac...",22,7,2.15,"0.00378","0.99159"
"155","GO:0019430","removal of superoxide radicals",22,7,2.15,"0.00378","0.93637"
"156","GO:0009268","response to pH",46,9,4.49,"0.00379","0.88222"
"157","GO:0009953","dorsal/ventral pattern formation",194,33,18.94,"0.00385","0.64269"
"158","GO:1902042","negative regulation of extrinsic apoptot...",12,5,1.17,"0.00386","0.91795"
"159","GO:0021702","cerebellar Purkinje cell differentiation",12,5,1.17,"0.00386","0.89669"
"160","GO:0021559","trigeminal nerve development",12,5,1.17,"0.00386","0.93998"
"161","GO:1904886","beta-catenin destruction complex disasse...",12,5,1.17,"0.00386","0.99900"
"162","GO:0045332","phospholipid translocation",25,6,2.44,"0.00387","0.99979"
"163","GO:0010656","negative regulation of muscle cell apopt...",33,6,3.22,"0.00389","0.91203"
"164","GO:0046716","muscle cell cellular homeostasis",73,15,7.13,"0.00403","0.96006"
"165","GO:0016318","ommatidial rotation",17,6,1.66,"0.00409","0.67108"
"166","GO:0014048","regulation of glutamate secretion",23,5,2.25,"0.00459","0.85903"
"167","GO:0021766","hippocampus development",74,15,7.22,"0.00461","0.41470"
"168","GO:0086010","membrane depolarization during action po...",33,13,3.22,"0.00480","0.85168"
"169","GO:0048665","neuron fate specification",35,11,3.42,"0.00488","0.97196"
"170","GO:0007420","brain development",660,100,64.44,"0.00492","0.93796"
"171","GO:0070121","Kupffer's vesicle development",23,7,2.25,"0.00499","0.99995"
"172","GO:0051965","positive regulation of synapse assembly",90,20,8.79,"0.00506","0.97622"
"173","GO:0045494","photoreceptor cell maintenance",61,13,5.96,"0.00520","0.53961"
"174","GO:0051674","localization of cell",777,97,75.86,"0.00526","0.88824"
"175","GO:0048671","negative regulation of collateral sprout...",29,8,2.83,"0.00531","0.97569"
"176","GO:0060740","prostate gland epithelium morphogenesis",29,8,2.83,"0.00531","0.76833"
"177","GO:0055117","regulation of cardiac muscle contraction",42,15,4.1,"0.00540","0.99888"
"178","GO:0050806","positive regulation of synaptic transmis...",142,39,13.86,"0.00541","0.76420"
"179","GO:0003018","vascular process in circulatory system",99,24,9.67,"0.00543","0.99929"
"180","GO:0046907","intracellular transport",1324,123,129.27,"0.00557","0.98166"
"181","GO:0071870","cellular response to catecholamine stimu...",71,16,6.93,"0.00561","0.63440"
"182","GO:0015701","bicarbonate transport",18,6,1.76,"0.00564","0.45370"
"183","GO:0016926","protein desumoylation",18,6,1.76,"0.00564","0.96894"
"184","GO:0046856","phosphatidylinositol dephosphorylation",18,6,1.76,"0.00564","0.91809"
"185","GO:0048085","adult chitin-containing cuticle pigmenta...",18,6,1.76,"0.00564","0.97505"
"186","GO:0021794","thalamus development",18,6,1.76,"0.00564","0.58803"
"187","GO:0048384","retinoic acid receptor signaling pathway",18,6,1.76,"0.00564","0.63609"
"188","GO:0042755","eating behavior",74,15,7.22,"0.00565","0.99696"
"189","GO:0009154","purine ribonucleotide catabolic process",69,11,6.74,"0.00576","0.99846"
"190","GO:0048749","compound eye development",309,52,30.17,"0.00576","0.12319"
"191","GO:0051497","negative regulation of stress fiber asse...",13,5,1.27,"0.00578","0.98660"
"192","GO:0086004","regulation of cardiac muscle cell contra...",13,5,1.27,"0.00578","0.99953"
"193","GO:0003180","aortic valve morphogenesis",13,5,1.27,"0.00578","0.95638"
"194","GO:0060788","ectodermal placode formation",13,5,1.27,"0.00578","0.99891"
"195","GO:0003214","cardiac left ventricle morphogenesis",13,5,1.27,"0.00578","0.99599"
"196","GO:0045188","regulation of circadian sleep/wake cycle...",13,5,1.27,"0.00578","0.97706"
"197","GO:0098901","regulation of cardiac muscle cell action...",13,5,1.27,"0.00578","0.98085"
"198","GO:1903386","negative regulation of homophilic cell a...",13,5,1.27,"0.00578","0.49744"
"199","GO:0036092","phosphatidylinositol-3-phosphate biosynt...",55,12,5.37,"0.00586","0.91719"
"200","GO:0043062","extracellular structure organization",308,49,30.07,"0.00591","0.97462"
"201","GO:0042391","regulation of membrane potential",268,45,26.17,"0.00592","0.33526"
"202","GO:0001947","heart looping",76,15,7.42,"0.00597","0.50887"
"203","GO:0009636","response to toxic substance",407,56,39.74,"0.00601","0.42309"
"204","GO:0051259","protein complex oligomerization",359,38,35.05,"0.00609","0.98723"
"205","GO:0050796","regulation of insulin secretion",129,20,12.59,"0.00634","0.99429"
"206","GO:1905330","regulation of morphogenesis of an epithe...",96,24,9.37,"0.00634","0.94727"
"207","GO:0060359","response to ammonium ion",143,27,13.96,"0.00643","0.99507"
"208","GO:0008039","synaptic target recognition",36,9,3.51,"0.00645","0.98007"
"209","GO:0035019","somatic stem cell population maintenance",36,9,3.51,"0.00645","0.55984"
"210","GO:0060037","pharyngeal system development",24,7,2.34,"0.00646","0.86583"
"211","GO:0050909","sensory perception of taste",30,8,2.93,"0.00664","0.94952"
"212","GO:0051239","regulation of multicellular organismal p...",2000,275,195.27,"0.00705","0.97724"
"213","GO:0007606","sensory perception of chemical stimulus",79,21,7.71,"0.00724","0.98604"
"214","GO:0007189","adenylate cyclase-activating G protein-c...",63,19,6.15,"0.00731","0.97177"
"215","GO:0051924","regulation of calcium ion transport",135,24,13.18,"0.00733","0.81788"
"216","GO:0090288","negative regulation of cellular response...",105,17,10.25,"0.00745","0.95680"
"217","GO:0007416","synapse assembly",282,52,27.53,"0.00748","0.95057"
"218","GO:0031281","positive regulation of cyclase activity",24,7,2.34,"0.00755","0.77920"
"219","GO:0043502","regulation of muscle adaptation",86,13,8.4,"0.00755","0.93578"
"220","GO:0035115","embryonic forelimb morphogenesis",19,6,1.86,"0.00757","0.80112"
"221","GO:0050976","detection of mechanical stimulus involve...",19,6,1.86,"0.00757","0.51275"
"222","GO:0043950","positive regulation of cAMP-mediated sig...",19,6,1.86,"0.00757","0.91388"
"223","GO:0001990","regulation of systemic arterial blood pr...",25,5,2.44,"0.00763","0.81652"
"224","GO:2000026","regulation of multicellular organismal d...",1427,190,139.32,"0.00775","0.99778"
"225","GO:0007565","female pregnancy",99,15,9.67,"0.00780","0.66077"
"226","GO:0001837","epithelial to mesenchymal transition",90,20,8.79,"0.00784","0.98062"
"227","GO:0021575","hindbrain morphogenesis",39,10,3.81,"0.00786","0.99910"
"228","GO:0032611","interleukin-1 beta production",35,9,3.42,"0.00788","0.92520"
"229","GO:1903038","negative regulation of leukocyte cell-ce...",31,8,3.03,"0.00790","0.80571"
"230","GO:0050767","regulation of neurogenesis",726,104,70.88,"0.00803","0.96553"
"231","GO:0040014","regulation of multicellular organism gro...",163,27,15.91,"0.00811","0.74560"
"232","GO:0060323","head morphogenesis",39,11,3.81,"0.00812","0.68527"
"233","GO:0061028","establishment of endothelial barrier",28,9,2.73,"0.00816","0.99836"
"234","GO:0007367","segment polarity determination",31,8,3.03,"0.00820","0.94601"
"235","GO:0042311","vasodilation",31,8,3.03,"0.00820","0.94413"
"236","GO:2000758","positive regulation of peptidyl-lysine a...",31,8,3.03,"0.00820","0.88711"
"237","GO:2001044","regulation of integrin-mediated signalin...",14,5,1.37,"0.00828","0.95856"
"238","GO:0035293","chitin-based larval cuticle pattern form...",14,5,1.37,"0.00828","0.95916"
"239","GO:0010745","negative regulation of macrophage derive...",14,5,1.37,"0.00828","0.99939"
"240","GO:0034616","response to laminar fluid shear stress",14,5,1.37,"0.00828","0.37124"
"241","GO:0010644","cell communication by electrical couplin...",14,5,1.37,"0.00828","0.98350"
"242","GO:0051050","positive regulation of transport",627,93,61.22,"0.00871","0.99802"
"243","GO:0071867","response to monoamine",74,18,7.22,"0.00929","0.98586"
"244","GO:0048659","smooth muscle cell proliferation",91,19,8.88,"0.00931","0.99992"
"245","GO:0007601","visual perception",92,22,8.98,"0.00936","0.75462"
"246","GO:1905954","positive regulation of lipid localizatio...",92,14,8.98,"0.00944","0.98592"
"247","GO:0061307","cardiac neural crest cell differentiatio...",13,5,1.27,"0.00947","0.99983"
"248","GO:0034369","plasma lipoprotein particle remodeling",17,5,1.66,"0.00948","0.98166"
"249","GO:0002011","morphogenesis of an epithelial sheet",75,17,7.32,"0.00959","0.82498"
"250","GO:0046426","negative regulation of receptor signalin...",34,7,3.32,"0.00997","0.55608"
"251","GO:0046677","response to antibiotic",306,38,29.88,"0.01019","0.31770"
"252","GO:0045475","locomotor rhythm",66,13,6.44,"0.01029","0.99745"
"253","GO:0060027","convergent extension involved in gastrul...",26,7,2.54,"0.01033","0.98606"
"254","GO:0007157","heterophilic cell-cell adhesion via plas...",52,11,5.08,"0.01036","0.92375"
"255","GO:2000146","negative regulation of cell motility",165,34,16.11,"0.01054","0.64513"
"256","GO:0050770","regulation of axonogenesis",249,36,24.31,"0.01068","0.99562"
"257","GO:0042326","negative regulation of phosphorylation",305,44,29.78,"0.01075","0.99824"
"258","GO:0023052","signaling",3100,413,302.66,"0.01089","0.93380"
"259","GO:0007368","determination of left/right symmetry",177,32,17.28,"0.01090","0.94928"
"260","GO:0010172","embryonic body morphogenesis",74,14,7.22,"0.01130","0.91803"
"261","GO:0003091","renal water homeostasis",15,5,1.46,"0.01144","0.90561"
"262","GO:0071404","cellular response to low-density lipopro...",15,5,1.46,"0.01144","0.94983"
"263","GO:0035652","clathrin-coated vesicle cargo loading",15,5,1.46,"0.01144","0.65634"
"264","GO:0031663","lipopolysaccharide-mediated signaling pa...",15,5,1.46,"0.01144","0.99935"
"265","GO:0010882","regulation of cardiac muscle contraction...",15,5,1.46,"0.01144","0.94922"
"266","GO:0042994","cytoplasmic sequestering of transcriptio...",15,5,1.46,"0.01144","0.91648"
"267","GO:0009952","anterior/posterior pattern specification",279,35,27.24,"0.01149","0.39067"
"268","GO:0060291","long-term synaptic potentiation",68,18,6.64,"0.01153","0.78954"
"269","GO:0072189","ureter development",10,4,0.98,"0.01171","0.99269"
"270","GO:0001993","regulation of systemic arterial blood pr...",10,4,0.98,"0.01171","0.79609"
"271","GO:1903818","positive regulation of voltage-gated pot...",10,4,0.98,"0.01171","0.94544"
"272","GO:1901030","positive regulation of mitochondrial out...",10,4,0.98,"0.01171","0.50057"
"273","GO:0003190","atrioventricular valve formation",10,4,0.98,"0.01171","0.94934"
"274","GO:0060739","mesenchymal-epithelial cell signaling in...",10,4,0.98,"0.01171","0.97298"
"275","GO:0034163","regulation of toll-like receptor 9 signa...",10,4,0.98,"0.01171","0.99157"
"276","GO:0061319","nephrocyte differentiation",10,4,0.98,"0.01171","0.89854"
"277","GO:0033197","response to vitamin E",10,4,0.98,"0.01171","0.83508"
"278","GO:0034505","tooth mineralization",10,4,0.98,"0.01171","0.97302"
"279","GO:2000253","positive regulation of feeding behavior",10,4,0.98,"0.01171","0.95304"
"280","GO:0061213","positive regulation of mesonephros devel...",10,4,0.98,"0.01171","0.28521"
"281","GO:0021516","dorsal spinal cord development",10,4,0.98,"0.01171","0.82610"
"282","GO:0060081","membrane hyperpolarization",10,4,0.98,"0.01171","0.94544"
"283","GO:0001912","positive regulation of leukocyte mediate...",23,5,2.25,"0.01172","0.35861"
"284","GO:0033363","secretory granule organization",46,10,4.49,"0.01174","0.97434"
"285","GO:0007411","axon guidance",414,72,40.42,"0.01185","0.95677"
"286","GO:0042733","embryonic digit morphogenesis",60,12,5.86,"0.01191","0.86563"
"287","GO:0090102","cochlea development",53,11,5.17,"0.01203","0.65301"
"288","GO:0072089","stem cell proliferation",174,28,16.99,"0.01218","0.90110"
"289","GO:2001259","positive regulation of cation channel ac...",37,11,3.61,"0.01254","0.94480"
"290","GO:0062014","negative regulation of small molecule me...",53,12,5.17,"0.01257","0.92688"
"291","GO:0030728","ovulation",36,10,3.51,"0.01260","0.59345"
"292","GO:0010288","response to lead ion",27,7,2.64,"0.01280","0.75673"
"293","GO:0022602","ovulation cycle process",34,7,3.32,"0.01282","0.34387"
"294","GO:0021549","cerebellum development",93,17,9.08,"0.01286","0.88380"
"295","GO:0007267","cell-cell signaling",1049,160,102.42,"0.01295","0.97263"
"296","GO:0006836","neurotransmitter transport",271,49,26.46,"0.01349","0.44858"
"297","GO:0045887","positive regulation of synaptic assembly...",61,12,5.96,"0.01355","0.99321"
"298","GO:0043536","positive regulation of blood vessel endo...",47,10,4.59,"0.01364","0.75428"
"299","GO:0030336","negative regulation of cell migration",150,29,14.65,"0.01376","0.88319"
"300","GO:0046661","male sex differentiation",174,26,16.99,"0.01443","0.83602"
"301","GO:0071346","cellular response to type II interferon",58,11,5.66,"0.01447","0.90726"
"302","GO:0055093","response to hyperoxia",34,8,3.32,"0.01454","0.69270"
"303","GO:0048148","behavioral response to cocaine",34,8,3.32,"0.01454","0.87681"
"304","GO:0001751","compound eye photoreceptor cell differen...",134,26,13.08,"0.01455","0.94089"
"305","GO:0030048","actin filament-based movement",108,23,10.54,"0.01459","0.37028"
"306","GO:0042478","regulation of eye photoreceptor cell dev...",18,4,1.76,"0.01480","0.99968"
"307","GO:0008217","regulation of blood pressure",97,19,9.47,"0.01483","0.99863"
"308","GO:0072659","protein localization to plasma membrane",178,25,17.38,"0.01485","0.94751"
"309","GO:0030198","extracellular matrix organization",264,40,25.78,"0.01498","0.90143"
"310","GO:0032880","regulation of protein localization",667,80,65.12,"0.01508","0.68952"
"311","GO:0048869","cellular developmental process",2828,339,276.11,"0.01510","0.48952"
"312","GO:0048514","blood vessel morphogenesis",317,56,30.95,"0.01528","0.99490"
"313","GO:0060384","innervation",16,5,1.56,"0.01533","0.99029"
"314","GO:1902307","positive regulation of sodium ion transm...",16,5,1.56,"0.01533","0.95531"
"315","GO:0032647","regulation of interferon-alpha productio...",16,5,1.56,"0.01533","0.98653"
"316","GO:0014012","peripheral nervous system axon regenerat...",16,5,1.56,"0.01533","0.98498"
"317","GO:0034391","regulation of smooth muscle cell apoptot...",16,5,1.56,"0.01533","0.68564"
"318","GO:0043537","negative regulation of blood vessel endo...",16,5,1.56,"0.01533","0.96413"
"319","GO:0048266","behavioral response to pain",16,5,1.56,"0.01533","0.99934"
"320","GO:0055010","ventricular cardiac muscle tissue morpho...",27,6,2.64,"0.01534","0.86059"
"321","GO:0007608","sensory perception of smell",41,9,4,"0.01545","0.83099"
"322","GO:0009950","dorsal/ventral axis specification",72,13,7.03,"0.01549","0.94427"
"323","GO:0035176","social behavior",28,7,2.73,"0.01567","0.54037"
"324","GO:0010842","retina layer formation",28,7,2.73,"0.01567","0.89645"
"325","GO:0072347","response to anesthetic",100,17,9.76,"0.01605","0.99586"
"326","GO:0007412","axon target recognition",22,6,2.15,"0.01618","0.63022"
