# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SRR8101518/Aligned.out.sam" "results/star/mapping/SRR8101523/Aligned.out.sam" "results/star/mapping/SRR8101526/Aligned.out.sam" "results/star/mapping/SRR8101525/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SRR8101518/Aligned.out.sam	results/star/mapping/SRR8101523/Aligned.out.sam	results/star/mapping/SRR8101526/Aligned.out.sam	results/star/mapping/SRR8101525/Aligned.out.sam
comp11230_c0	comp11230_c0_seq1	1	381	-	381	6	9	10	3
comp11232_c0	comp11232_c0_seq1	1	1294	-	1294	87	2	377	64
comp11261_c0	comp11261_c0_seq1	1	641	-	641	5	163	1	6
comp11263_c0	comp11263_c0_seq1	1	508	-	508	0	1	84	4
comp11272_c0	comp11272_c0_seq1	1	958	-	958	34	21	35	20
comp11275_c0	comp11275_c0_seq1	1	713	-	713	4	5	6	2
comp11282_c0	comp11282_c0_seq1	1	1350	-	1350	30	2	127	157
comp11301_c0	comp11301_c0_seq1	1	337	-	337	6	3	5	0
comp11304_c0	comp11304_c0_seq1	1	2297	-	2297	230	267	198	188
comp11307_c0	comp11307_c0_seq2	1	1273	-	1273	22	65	57	1
comp11309_c0	comp11309_c0_seq1	1	690	-	690	24	2	10	34
comp11312_c0	comp11312_c0_seq2	1	465	-	465	0	0	0	0
comp11318_c0	comp11318_c0_seq1	1	2874	-	2874	764	258	490	496
comp11322_c0	comp11322_c0_seq1	1	866	-	866	13	1	131	20
comp11328_c0	comp11328_c0_seq1	1	780	-	780	37	56	11	1
comp11329_c0	comp11329_c0_seq1	1	426	-	426	53	160	78	99
comp11355_c0	comp11355_c0_seq1	1	430	-	430	8	2	4	6
comp11361_c0	comp11361_c0_seq1	1	516	-	516	1532	0	4	14
comp11365_c0	comp11365_c0_seq1	1	436	-	436	2	3	5	5
comp11428_c0	comp11428_c0_seq1	1	523	-	523	0	0	0	0
comp11446_c0	comp11446_c0_seq1	1	816	-	816	0	0	0	0
comp11482_c0	comp11482_c0_seq1	1	608	-	608	3	5	8	12
comp11500_c0	comp11500_c0_seq1	1	452	-	452	4	0	3	2
comp11525_c0	comp11525_c0_seq1	1	462	-	462	1	1	0	0
comp11539_c0	comp11539_c0_seq1	1	1812	-	1812	227	274	174	173
comp11548_c0	comp11548_c0_seq1	1	1122	-	1122	80	91	81	93
comp11555_c0	comp11555_c0_seq1	1	448	-	448	13	41	20	4
comp11561_c0	comp11561_c0_seq1	1	346	-	346	7	8	11	11
comp11582_c0	comp11582_c0_seq1	1	321	-	321	3	2	0	2
comp11586_c0	comp11586_c0_seq1	1	299	-	299	1	2	2	4
comp11626_c0	comp11626_c0_seq1	1	455	-	455	10	7	2	6
comp11631_c0	comp11631_c0_seq1	1	953	-	953	331	5	21	21
comp11640_c0	comp11640_c0_seq1	1	727	-	727	0	0	0	0
comp11645_c0	comp11645_c0_seq1	1	407	-	407	3	3	2	1
comp11658_c0	comp11658_c0_seq1	1	321	-	321	0	0	2	2
comp11687_c0	comp11687_c0_seq1	1	2108	-	2108	170	6	43	246
comp11688_c0	comp11688_c0_seq1	1	475	-	475	2	2	6	1
comp11698_c0	comp11698_c0_seq1	1	361	-	361	0	2	3	2
comp11701_c0	comp11701_c0_seq1	1	1955	-	1955	6	87	170	23
comp11719_c0	comp11719_c0_seq1	1	577	-	577	6	1	6	9
comp11726_c0	comp11726_c0_seq1	1	353	-	353	1	0	1	1
comp11737_c0	comp11737_c0_seq1	1	2228	-	2228	267	304	326	376
comp11744_c0	comp11744_c0_seq1	1	847	-	847	0	0	4	0
comp11763_c0	comp11763_c0_seq1	1	362	-	362	2	2	3	9
comp11765_c0	comp11765_c0_seq1	1	850	-	850	5	0	7	4
comp11771_c0	comp11771_c0_seq1	1	706	-	706	2	0	2	0
comp11774_c0	comp11774_c0_seq1	1	376	-	376	0	32	7	1
comp11781_c0	comp11781_c0_seq1	1	1826	-	1826	174	165	170	168
comp11791_c0	comp11791_c0_seq1	1	1888	-	1888	182	98	299	281
comp11820_c0	comp11820_c0_seq1	1	436	-	436	0	3	0	0
comp11828_c0	comp11828_c0_seq1	1	1261	-	1261	0	1	2	5
comp11853_c0	comp11853_c0_seq1	1	3284	-	3284	397	379	396	556
comp11862_c1	comp11862_c1_seq1	1	669	-	669	2	2	10	0
comp11866_c0	comp11866_c0_seq1	1	1706	-	1706	188	83	300	333
comp11880_c0	comp11880_c0_seq1	1	430	-	430	6	1	1	4
comp11887_c0	comp11887_c0_seq1	1	2003	-	2003	146	94	127	160
comp11894_c0	comp11894_c0_seq2	1	496	-	496	22	1	15	13
comp11898_c0	comp11898_c0_seq1	1	548	-	548	929	859	654	1641
comp11918_c0	comp11918_c0_seq1	1	867	-	867	0	0	0	0
comp11918_c1	comp11918_c1_seq1	1	634	-	634	0	0	0	0
comp11930_c0	comp11930_c0_seq1	1	1692	-	1692	210	5	19	174
comp11941_c0	comp11941_c0_seq1	1	1670	-	1670	165	22	22	22
comp11942_c0	comp11942_c0_seq1	1	633	-	633	0	55	2	6
comp11945_c0	comp11945_c0_seq1	1	417	-	417	6	6	3	4
comp11956_c0	comp11956_c0_seq1	1	390	-	390	0	1	2	0
comp11957_c0	comp11957_c0_seq1	1	928	-	928	1	97	0	8
comp11965_c0	comp11965_c0_seq1	1	3274	-	3274	779	569	610	722
comp11979_c0	comp11979_c0_seq1	1	336	-	336	0	0	2	0
comp11981_c0	comp11981_c0_seq1	1	2549	-	2549	217	128	213	263
comp11991_c0	comp11991_c0_seq1	1	1217	-	1217	16	0	53	6
comp11991_c1	comp11991_c1_seq1	1	535	-	535	4	0	30	2
comp11993_c0	comp11993_c0_seq1	1	2888	-	2888	248	481	257	287
comp11995_c0	comp11995_c0_seq1	1	336	-	336	14	4	16	17
comp12016_c0	comp12016_c0_seq1	1	2352	-	2352	1	158	301	9
comp12022_c0	comp12022_c0_seq1	1	1831	-	1831	176	152	122	299
comp12024_c0	comp12024_c0_seq1	1	1261	-	1261	113	0	63	38
comp12026_c0	comp12026_c0_seq1	1	2334	-	2334	465	3	371	796
comp12040_c0	comp12040_c0_seq1	1	1392	-	1392	0	7	1	0
comp12048_c0	comp12048_c0_seq1	1	2007	-	2007	546	146	301	226
comp12061_c0	comp12061_c0_seq1	1	485	-	485	1	8	1	1
comp12061_c1	comp12061_c1_seq1	1	508	-	508	2	2	2	1
comp12063_c0	comp12063_c0_seq1	1	1083	-	1083	4	160	4	14
comp12073_c0	comp12073_c0_seq1	1	854	-	854	46	4	11	0
comp12102_c0	comp12102_c0_seq2	1	798	-	798	8	10	8	10
comp12103_c0	comp12103_c0_seq1	1	511	-	511	8	2	2	8
comp12104_c0	comp12104_c0_seq1	1	303	-	303	0	28	1	2
comp12104_c1	comp12104_c1_seq1	1	348	-	348	1	69	0	3
comp12122_c0	comp12122_c0_seq1	1	1661	-	1661	69	127	97	109
comp12127_c0	comp12127_c0_seq1	1	437	-	437	2	2	2	2
comp12133_c0	comp12133_c0_seq1	1	378	-	378	0	0	0	2
comp12136_c0	comp12136_c0_seq1	1	1189	-	1189	71	6	24	18
comp12144_c0	comp12144_c0_seq1	1	643	-	643	32	2	455	29
comp12147_c0	comp12147_c0_seq1	1	700	-	700	11	9	6	6
comp12155_c0	comp12155_c0_seq1	1	4150	-	4150	618	343	875	1148
comp12162_c0	comp12162_c0_seq1	1	334	-	334	13	16	11	10
comp12166_c0	comp12166_c0_seq1	1	579	-	579	9	16	17	7
comp12167_c0	comp12167_c0_seq1	1	321	-	321	0	21	0	0
comp12168_c0	comp12168_c0_seq2	1	1301	-	1301	76	83	70	61
comp12170_c0	comp12170_c0_seq1	1	609	-	609	0	1	0	1
comp12184_c0	comp12184_c0_seq1	1	609	-	609	10	4	2	7
comp12186_c0	comp12186_c0_seq1	1	1595	-	1595	8	0	69	4
comp12187_c0	comp12187_c0_seq1	1	2229	-	2229	100	150	467	11
comp12189_c0	comp12189_c0_seq1	1	479	-	479	4	5	4	6
comp12196_c0	comp12196_c0_seq1	1	405	-	405	1	3	4	5
comp12200_c0	comp12200_c0_seq1	1	614	-	614	11	12	7	15
comp12202_c0	comp12202_c0_seq1	1	981	-	981	3	2	12	2
comp12213_c0	comp12213_c0_seq1	1	720	-	720	10	4	12	11
comp12230_c0	comp12230_c0_seq1	1	322	-	322	3	20	6	0
comp12246_c0	comp12246_c0_seq1	1	889	-	889	52	52	68	77
comp12255_c0	comp12255_c0_seq1	1	396	-	396	2	3	3	7
comp12264_c0	comp12264_c0_seq1	1	573	-	573	7	4	6	4
comp12270_c0	comp12270_c0_seq1	1	651	-	651	54	104	28	0
comp12271_c0	comp12271_c0_seq1	1	383	-	383	120	0	0	2
comp12273_c0	comp12273_c0_seq1	1	301	-	301	3	1	2	2
comp12279_c0	comp12279_c0_seq1	1	348	-	348	12	4	8	4
comp12287_c0	comp12287_c0_seq1	1	323	-	323	0	1	0	0
comp12317_c0	comp12317_c0_seq1	1	375	-	375	11	6	2	3
comp12321_c1	comp12321_c1_seq1	1	465	-	465	7	8	8	10
comp12329_c1	comp12329_c1_seq1	1	4381	-	4381	429	427	391	367
comp12334_c0	comp12334_c0_seq1	1	774	-	774	47	2	20	111
comp12359_c0	comp12359_c0_seq1	1	641	-	641	0	84	0	0
comp12371_c0	comp12371_c0_seq1	1	451	-	451	2	0	6	0
comp12393_c0	comp12393_c0_seq1	1	412	-	412	9	9	14	8
comp12396_c0	comp12396_c0_seq1	1	351	-	351	4	9	4	4
comp12448_c0	comp12448_c0_seq1	1	649	-	649	6	10	7	3
comp12449_c0	comp12449_c0_seq1	1	308	-	308	14	13	12	12
comp12455_c0	comp12455_c0_seq1	1	1967	-	1967	216	265	195	98
comp12457_c0	comp12457_c0_seq1	1	399	-	399	0	0	0	0
comp12458_c0	comp12458_c0_seq1	1	425	-	425	3	2	1	3
comp12464_c0	comp12464_c0_seq1	1	853	-	853	16	5	17	11
comp12465_c0	comp12465_c0_seq1	1	529	-	529	84	63	70	76
comp12472_c0	comp12472_c0_seq1	1	1560	-	1560	57	29	23	19
comp12479_c0	comp12479_c0_seq1	1	1970	-	1970	1	1	2	0
comp12486_c0	comp12486_c0_seq1	1	384	-	384	0	0	0	0
comp12493_c0	comp12493_c0_seq1	1	322	-	322	5	0	21	6
comp12530_c0	comp12530_c0_seq1	1	527	-	527	3	0	7	3
comp12533_c0	comp12533_c0_seq1	1	1278	-	1278	103	105	92	122
comp12535_c0	comp12535_c0_seq1	1	341	-	341	2	1	2	3
comp12542_c0	comp12542_c0_seq1	1	453	-	453	28	41	28	51
comp12549_c0	comp12549_c0_seq1	1	339	-	339	0	0	0	0
comp12556_c0	comp12556_c0_seq1	1	367	-	367	3	55	13	2
comp12565_c0	comp12565_c0_seq1	1	1250	-	1250	15	5	12	18
comp12570_c0	comp12570_c0_seq1	1	819	-	819	0	0	0	0
comp12578_c0	comp12578_c0_seq1	1	345	-	345	0	0	0	0
comp12583_c0	comp12583_c0_seq1	1	2006	-	2006	14	24	212	38
comp12594_c0	comp12594_c0_seq1	1	613	-	613	8	4	5	6
comp12628_c0	comp12628_c0_seq1	1	1020	-	1020	2	0	0	0
comp12635_c0	comp12635_c0_seq1	1	300	-	300	10	3	5	5
comp12638_c0	comp12638_c0_seq1	1	559	-	559	1	1	4	2
comp12653_c0	comp12653_c0_seq1	1	538	-	538	0	0	0	0
comp12654_c0	comp12654_c0_seq1	1	927	-	927	19	19	13	26
comp12660_c0	comp12660_c0_seq1	1	403	-	403	8	6	9	5
comp12663_c0	comp12663_c0_seq1	1	1243	-	1243	1	2	2	5
comp12676_c0	comp12676_c0_seq1	1	453	-	453	4	0	20	0
comp12676_c1	comp12676_c1_seq1	1	755	-	755	6	0	30	1
comp12685_c0	comp12685_c0_seq1	1	2284	-	2284	101	139	105	101
comp12711_c0	comp12711_c0_seq1	1	690	-	690	5	1	10	1
comp12749_c0	comp12749_c0_seq1	1	1819	-	1819	167	155	189	294
comp12752_c0	comp12752_c0_seq1	1	360	-	360	5	0	0	5
comp12772_c0	comp12772_c0_seq1	1	303	-	303	1	0	1	0
comp12775_c0	comp12775_c0_seq1	1	1523	-	1523	128	127	158	205
comp12786_c0	comp12786_c0_seq1	1	2357	-	2357	469	395	500	483
comp12804_c0	comp12804_c0_seq1	1	509	-	509	3	0	9	1
comp12836_c1	comp12836_c1_seq1	1	385	-	385	2	3	3	3
comp12842_c0	comp12842_c0_seq2	1	507	-	507	1	1	3	0
comp12852_c0	comp12852_c0_seq1	1	938	-	938	1	0	3	1
comp12869_c0	comp12869_c0_seq1	1	394	-	394	1	53	67	21
comp12871_c0	comp12871_c0_seq1	1	1744	-	1744	14	179	97	4
comp12874_c0	comp12874_c0_seq1	1	2833	-	2833	21	3	24	12
comp12878_c0	comp12878_c0_seq1	1	2045	-	2045	278	175	304	451
comp12901_c0	comp12901_c0_seq1	1	3013	-	3013	533	388	431	278
comp12914_c0	comp12914_c0_seq1	1	1528	-	1528	147	199	120	122
comp12927_c0	comp12927_c0_seq1	1	631	-	631	90	61	112	139
comp12929_c0	comp12929_c0_seq1	1	775	-	775	55	1	17	10
comp12971_c0	comp12971_c0_seq1	1	346	-	346	5	0	8	0
comp12995_c0	comp12995_c0_seq1	1	353	-	353	0	0	0	1
comp13002_c0	comp13002_c0_seq1	1	900	-	900	323	178	226	172
comp13030_c0	comp13030_c0_seq1	1	470	-	470	5	0	23	6
comp13044_c0	comp13044_c0_seq1	1	470	-	470	8	4	3	3
comp13057_c0	comp13057_c0_seq1	1	763	-	763	92	97	84	140
comp13074_c0	comp13074_c0_seq1	1	612	-	612	9	4	9	10
comp13086_c0	comp13086_c0_seq1	1	437	-	437	0	0	0	0
comp13133_c0	comp13133_c0_seq1	1	326	-	326	11	6	5	4
comp13148_c0	comp13148_c0_seq1	1	329	-	329	3	4	1	1
comp13165_c0	comp13165_c0_seq1	1	412	-	412	12	3	7	6
comp13167_c0	comp13167_c0_seq1	1	1499	-	1499	323	82	253	614
comp13170_c0	comp13170_c0_seq1	1	533	-	533	5	4	4	5
comp13171_c0	comp13171_c0_seq1	1	385	-	385	2	0	0	1
comp13173_c0	comp13173_c0_seq1	1	382	-	382	0	1	0	2
comp13175_c0	comp13175_c0_seq1	1	449	-	449	6	6	11	7
comp13207_c0	comp13207_c0_seq1	1	3347	-	3347	956	551	1149	1280
comp13214_c0	comp13214_c0_seq1	1	397	-	397	0	0	12	5
comp13217_c0	comp13217_c0_seq1	1	446	-	446	5	73	4	0
comp13253_c0	comp13253_c0_seq1	1	342	-	342	30	2	56	787
comp13262_c0	comp13262_c0_seq1	1	519	-	519	0	0	0	1
comp13275_c0	comp13275_c0_seq1	1	706	-	706	8	8	2	4
comp13276_c0	comp13276_c0_seq1	1	2043	-	2043	2267	362	1040	3549
comp13290_c0	comp13290_c0_seq1	1	1475	-	1475	393	250	331	321
comp13305_c0	comp13305_c0_seq1	1	1468	-	1468	152	173	240	290
comp13312_c0	comp13312_c0_seq1	1	330	-	330	0	0	0	0
comp13325_c0	comp13325_c0_seq1	1	574	-	574	0	1	0	0
comp13338_c0	comp13338_c0_seq1	1	5626	-	5626	918	425	1075	1645
comp13356_c0	comp13356_c0_seq1	1	626	-	626	298	0	2	7
comp13373_c0	comp13373_c0_seq2	1	1727	-	1727	39	43	100	72
comp13394_c0	comp13394_c0_seq1	1	2114	-	2114	1196	319	703	484
comp13398_c0	comp13398_c0_seq1	1	566	-	566	49	15	44	45
comp13401_c0	comp13401_c0_seq1	1	674	-	674	2	5	3	4
comp13414_c1	comp13414_c1_seq1	1	2002	-	2002	233	233	233	244
comp13429_c0	comp13429_c0_seq1	1	382	-	382	76	45	87	60
comp13441_c0	comp13441_c0_seq2	1	5488	-	5488	639	545	820	664
comp13445_c1	comp13445_c1_seq1	1	979	-	979	28	21	16	32
comp13451_c0	comp13451_c0_seq1	1	400	-	400	3	2	2	2
comp13452_c0	comp13452_c0_seq1	1	832	-	832	42	0	39	18
comp13469_c0	comp13469_c0_seq1	1	456	-	456	4	7	1	4
comp13480_c0	comp13480_c0_seq1	1	545	-	545	9	8	7	6
comp13489_c0	comp13489_c0_seq1	1	3930	-	3930	769	544	495	518
comp13497_c0	comp13497_c0_seq1	1	505	-	505	35	129	51	77
comp13502_c0	comp13502_c0_seq1	1	407	-	407	1	6	3	0
comp13508_c0	comp13508_c0_seq2	1	987	-	987	67	31	25	39
comp13532_c0	comp13532_c0_seq1	1	628	-	628	6	2	23	1
comp13538_c0	comp13538_c0_seq1	1	403	-	403	4	3	11	6
comp13545_c0	comp13545_c0_seq1	1	2446	-	2446	396	492	521	501
comp13572_c0	comp13572_c0_seq1	1	687	-	687	243	1	10	32
comp13578_c0	comp13578_c0_seq1	1	1563	-	1563	131	165	205	137
comp13597_c0	comp13597_c0_seq1	1	452	-	452	0	2	1	2
comp13605_c0	comp13605_c0_seq1	1	1002	-	1002	0	183	4	1
comp13605_c1	comp13605_c1_seq1	1	702	-	702	1	112	4	1
comp13622_c1	comp13622_c1_seq1	1	1482	-	1482	155	176	133	133
comp13631_c0	comp13631_c0_seq1	1	386	-	386	0	3	0	3
comp13681_c0	comp13681_c0_seq1	1	1031	-	1031	123	104	99	132
comp13683_c0	comp13683_c0_seq1	1	319	-	319	1	1	3	2
comp13685_c0	comp13685_c0_seq1	1	2018	-	2018	507	227	349	273
comp13712_c0	comp13712_c0_seq1	1	344	-	344	0	0	0	0
comp13720_c0	comp13720_c0_seq1	1	510	-	510	1	0	0	1
comp13760_c0	comp13760_c0_seq1	1	556	-	556	13	10	12	30
comp13785_c0	comp13785_c0_seq2	1	324	-	324	0	0	0	0
comp13803_c0	comp13803_c0_seq1	1	435	-	435	1	1	18	1
comp13818_c0	comp13818_c0_seq1	1	501	-	501	2	2	1	3
comp13870_c0	comp13870_c0_seq1	1	1575	-	1575	285	209	201	210
comp13873_c0	comp13873_c0_seq1	1	332	-	332	0	0	0	0
comp13884_c0	comp13884_c0_seq1	1	2479	-	2479	311	2565	519	318
comp13891_c0	comp13891_c0_seq1	1	816	-	816	102	96	97	114
comp13927_c0	comp13927_c0_seq1	1	1332	-	1332	83	0	585	157
comp13928_c0	comp13928_c0_seq1	1	2044	-	2044	204	172	156	101
comp13933_c0	comp13933_c0_seq1	1	362	-	362	2	1	0	1
comp13944_c0	comp13944_c0_seq1	1	958	-	958	332	124	279	145
comp13954_c0	comp13954_c0_seq1	1	2057	-	2057	61	56	72	135
comp13976_c0	comp13976_c0_seq1	1	2433	-	2433	421	374	556	752
comp13987_c0	comp13987_c0_seq1	1	727	-	727	14	11	6	12
comp13997_c0	comp13997_c0_seq1	1	400	-	400	2	0	5	3
comp14000_c0	comp14000_c0_seq1	1	1117	-	1117	133	114	128	133
comp14005_c0	comp14005_c0_seq1	1	343	-	343	6	9	18	10
comp14012_c0	comp14012_c0_seq1	1	1653	-	1653	1313	130	504	804
comp14041_c0	comp14041_c0_seq2	1	994	-	994	4	4	6	5
comp14066_c0	comp14066_c0_seq1	1	329	-	329	8	0	5	5
comp14077_c0	comp14077_c0_seq1	1	774	-	774	4	3	2	1
comp14084_c0	comp14084_c0_seq1	1	410	-	410	1	5	4	22
comp14126_c0	comp14126_c0_seq1	1	348	-	348	2	1	1	0
comp14126_c1	comp14126_c1_seq1	1	415	-	415	6	2	4	5
comp14131_c0	comp14131_c0_seq1	1	562	-	562	3	5	7	4
comp14151_c0	comp14151_c0_seq1	1	430	-	430	0	0	1	3
comp14168_c0	comp14168_c0_seq1	1	772	-	772	0	0	0	1
comp14191_c0	comp14191_c0_seq1	1	324	-	324	2	1	1	3
comp14224_c0	comp14224_c0_seq1	1	450	-	450	5	1	2	7
comp14250_c0	comp14250_c0_seq1	1	546	-	546	13	24	10	4
comp14255_c0	comp14255_c0_seq1	1	1725	-	1725	274	161	173	253
comp14265_c0	comp14265_c0_seq1	1	439	-	439	0	1	4	0
comp14271_c0	comp14271_c0_seq1	1	860	-	860	0	0	0	1
comp14304_c0	comp14304_c0_seq1	1	1617	-	1617	84	103	99	185
comp14312_c0	comp14312_c0_seq1	1	322	-	322	0	0	3	0
comp14390_c0	comp14390_c0_seq1	1	1188	-	1188	409	189	174	139
comp14391_c0	comp14391_c0_seq1	1	438	-	438	11	11	13	11
comp14406_c0	comp14406_c0_seq1	1	686	-	686	1	4	3	4
comp14410_c0	comp14410_c0_seq1	1	580	-	580	0	0	0	0
comp14413_c0	comp14413_c0_seq1	1	829	-	829	10	4	5	2
comp14414_c0	comp14414_c0_seq1	1	1433	-	1433	489	290	530	527
comp14433_c0	comp14433_c0_seq1	1	437	-	437	5	6	4	3
comp14447_c0	comp14447_c0_seq1	1	567	-	567	3	79	6	7
comp14460_c0	comp14460_c0_seq1	1	343	-	343	1	3	0	2
comp14465_c0	comp14465_c0_seq1	1	308	-	308	0	4	1	2
comp14477_c0	comp14477_c0_seq1	1	472	-	472	44	9	9	33
comp14492_c0	comp14492_c0_seq1	1	756	-	756	3	3	3	8
comp14500_c0	comp14500_c0_seq1	1	376	-	376	0	1	15	3
