"","GO.ID","Term","Annotated","Significant","Expected","classic"
"36","GO:0032870","cellular response to hormone stimulus",477,17,9.78,"0.00160"
"37","GO:0042366","cobalamin catabolic process",12,3,0.25,"0.00162"
"38","GO:0086010","membrane depolarization during action po...",26,4,0.53,"0.00179"
"39","GO:0051480","regulation of cytosolic calcium ion conc...",136,9,2.79,"0.00186"
"40","GO:1903351","cellular response to dopamine",58,7,1.19,"0.00196"
"41","GO:0003091","renal water homeostasis",13,3,0.27,"0.00208"
"42","GO:0050965","detection of temperature stimulus involv...",13,3,0.27,"0.00208"
"43","GO:1900195","positive regulation of oocyte maturation",13,3,0.27,"0.00208"
"44","GO:0007189","adenylate cyclase-activating G protein-c...",51,6,1.05,"0.00229"
"45","GO:0007218","neuropeptide signaling pathway",46,5,0.94,"0.00237"
"46","GO:0045938","positive regulation of circadian sleep/w...",28,4,0.57,"0.00237"
"47","GO:0043051","regulation of nematode pharyngeal pumpin...",28,4,0.57,"0.00237"
"48","GO:0035988","chondrocyte proliferation",14,3,0.29,"0.00261"
"49","GO:0034384","high-density lipoprotein particle cleara...",14,3,0.29,"0.00261"
"50","GO:0043153","entrainment of circadian clock by photop...",14,3,0.29,"0.00261"
"51","GO:0010721","negative regulation of cell development",362,16,7.42,"0.00272"
"52","GO:0023052","signaling",3042,93,62.37,"0.00290"
"53","GO:0015889","cobalamin transport",15,3,0.31,"0.00321"
"54","GO:0003416","endochondral bone growth",15,3,0.31,"0.00321"
"55","GO:1901020","negative regulation of calcium ion trans...",15,3,0.31,"0.00321"
"56","GO:0043270","positive regulation of monoatomic ion tr...",169,10,3.47,"0.00363"
"57","GO:0019933","cAMP-mediated signaling",81,6,1.66,"0.00370"
"58","GO:0010763","positive regulation of fibroblast migrat...",16,3,0.33,"0.00389"
"59","GO:2001025","positive regulation of response to drug",32,4,0.66,"0.00391"
"60","GO:0048813","dendrite morphogenesis",214,10,4.39,"0.00401"
"61","GO:0048609","multicellular organismal reproductive pr...",1292,25,26.49,"0.00421"
"62","GO:1990138","neuron projection extension",195,9,4,"0.00446"
"63","GO:0015701","bicarbonate transport",17,3,0.35,"0.00466"
"64","GO:0020028","endocytic hemoglobin import into cell",17,3,0.35,"0.00466"
"65","GO:0019934","cGMP-mediated signaling",17,3,0.35,"0.00466"
"66","GO:0048680","positive regulation of axon regeneration",35,4,0.72,"0.00543"
"67","GO:0021854","hypothalamus development",18,3,0.37,"0.00551"
"68","GO:0033564","anterior/posterior axon guidance",19,3,0.39,"0.00644"
"69","GO:0044319","wound healing, spreading of cells",19,3,0.39,"0.00644"
"70","GO:0007637","proboscis extension reflex",19,3,0.39,"0.00644"
"71","GO:0046677","response to antibiotic",314,12,6.44,"0.00728"
"72","GO:0014059","regulation of dopamine secretion",38,4,0.78,"0.00731"
"73","GO:0042491","inner ear auditory receptor cell differe...",41,4,0.84,"0.00739"
"74","GO:0042391","regulation of membrane potential",273,16,5.6,"0.00743"
"75","GO:0009642","response to light intensity",20,3,0.41,"0.00746"
"76","GO:1901046","positive regulation of egg-laying behavi...",20,3,0.41,"0.00746"
"77","GO:0015749","monosaccharide transmembrane transport",94,5,1.93,"0.00808"
"78","GO:0038083","peptidyl-tyrosine autophosphorylation",21,3,0.43,"0.00858"
"79","GO:0007566","embryo implantation",40,4,0.82,"0.00877"
"80","GO:0006836","neurotransmitter transport",236,14,4.84,"0.00987"
"81","GO:0032528","microvillus organization",25,5,0.51,"0.01045"
"82","GO:0019439","aromatic compound catabolic process",507,9,10.4,"0.01057"
"83","GO:0006935","chemotaxis",518,19,10.62,"0.01076"
"84","GO:0050966","detection of mechanical stimulus involve...",23,3,0.47,"0.01109"
"85","GO:0060282","positive regulation of oocyte developmen...",23,3,0.47,"0.01109"
"86","GO:0030199","collagen fibril organization",24,3,0.49,"0.01248"
"87","GO:0017001","antibiotic catabolic process",24,3,0.49,"0.01248"
"88","GO:0048047","mating behavior, sex discrimination",24,3,0.49,"0.01248"
"89","GO:0015886","heme transport",24,3,0.49,"0.01248"
"90","GO:0014033","neural crest cell differentiation",56,4,1.15,"0.01351"
"91","GO:0016056","rhodopsin mediated signaling pathway",30,3,0.62,"0.01359"
"92","GO:0042953","lipoprotein transport",25,3,0.51,"0.01398"
"93","GO:0007601","visual perception",92,7,1.89,"0.01438"
"94","GO:0033563","dorsal/ventral axon guidance",26,3,0.53,"0.01557"
"95","GO:0009886","post-embryonic animal morphogenesis",342,7,7.01,"0.01623"
"96","GO:0055093","response to hyperoxia",48,4,0.98,"0.01645"
"97","GO:0051590","positive regulation of neurotransmitter ...",35,4,0.72,"0.01658"
"98","GO:0060056","mammary gland involution",10,2,0.21,"0.01688"
"99","GO:0032957","inositol trisphosphate metabolic process",10,2,0.21,"0.01688"
"100","GO:0021559","trigeminal nerve development",10,2,0.21,"0.01688"
"101","GO:0032277","negative regulation of gonadotropin secr...",10,2,0.21,"0.01688"
"102","GO:0048036","central complex development",10,2,0.21,"0.01688"
"103","GO:0035545","determination of left/right asymmetry in...",10,2,0.21,"0.01688"
"104","GO:1900452","regulation of long-term synaptic depress...",10,2,0.21,"0.01688"
"105","GO:0032534","regulation of microvillus assembly",10,2,0.21,"0.01688"
"106","GO:0015670","carbon dioxide transport",10,2,0.21,"0.01688"
"107","GO:1905489","regulation of sensory neuron axon guidan...",10,2,0.21,"0.01688"
"108","GO:0046676","negative regulation of insulin secretion",27,3,0.55,"0.01725"
"109","GO:0086091","regulation of heart rate by cardiac cond...",27,3,0.55,"0.01725"
"110","GO:0042542","response to hydrogen peroxide",101,6,2.07,"0.01734"
"111","GO:0007409","axonogenesis",547,21,11.22,"0.01843"
"112","GO:0009617","response to bacterium",360,14,7.38,"0.01862"
"113","GO:0007406","negative regulation of neuroblast prolif...",28,3,0.57,"0.01904"
"114","GO:0015872","dopamine transport",49,6,1,"0.01959"
"115","GO:0050665","hydrogen peroxide biosynthetic process",11,2,0.23,"0.02035"
"116","GO:0014061","regulation of norepinephrine secretion",11,2,0.23,"0.02035"
"117","GO:0070365","hepatocyte differentiation",11,2,0.23,"0.02035"
"118","GO:0090036","regulation of protein kinase C signaling",11,2,0.23,"0.02035"
"119","GO:0033604","negative regulation of catecholamine sec...",11,2,0.23,"0.02035"
"120","GO:0038007","netrin-activated signaling pathway",11,2,0.23,"0.02035"
"121","GO:0018993","somatic sex determination",11,2,0.23,"0.02035"
"122","GO:0071377","cellular response to glucagon stimulus",11,2,0.23,"0.02035"
"123","GO:0009309","amine biosynthetic process",30,2,0.62,"0.02045"
"124","GO:1905881","positive regulation of oogenesis",29,3,0.59,"0.02092"
"125","GO:0072499","photoreceptor cell axon guidance",29,3,0.59,"0.02092"
"126","GO:0009887","animal organ morphogenesis",1062,32,21.78,"0.02165"
"127","GO:1900087","positive regulation of G1/S transition o...",53,4,1.09,"0.02290"
"128","GO:0008594","photoreceptor cell morphogenesis",30,3,0.62,"0.02291"
"129","GO:0097746","blood vessel diameter maintenance",94,5,1.93,"0.02372"
"130","GO:0070633","transepithelial transport",24,3,0.49,"0.02389"
"131","GO:1901385","regulation of voltage-gated calcium chan...",12,2,0.25,"0.02410"
"132","GO:0010863","positive regulation of phospholipase C a...",12,2,0.25,"0.02410"
"133","GO:0070293","renal absorption",12,2,0.25,"0.02410"
"134","GO:0007567","parturition",12,2,0.25,"0.02410"
"135","GO:2000292","regulation of defecation",12,2,0.25,"0.02410"
"136","GO:0009812","flavonoid metabolic process",12,2,0.25,"0.02410"
"137","GO:1902931","negative regulation of alcohol biosynthe...",12,2,0.25,"0.02410"
"138","GO:1902932","positive regulation of alcohol biosynthe...",12,2,0.25,"0.02410"
"139","GO:0030500","regulation of bone mineralization",31,3,0.64,"0.02499"
"140","GO:0046887","positive regulation of hormone secretion",92,8,1.89,"0.02554"
"141","GO:0045860","positive regulation of protein kinase ac...",299,7,6.13,"0.02560"
"142","GO:0006955","immune response",850,15,17.43,"0.02569"
"143","GO:0019991","septate junction assembly",32,3,0.66,"0.02717"
"144","GO:0000086","G2/M transition of mitotic cell cycle",179,4,3.67,"0.02806"
"145","GO:0014057","positive regulation of acetylcholine sec...",13,2,0.27,"0.02810"
"146","GO:0007263","nitric oxide mediated signal transductio...",13,2,0.27,"0.02810"
"147","GO:0060134","prepulse inhibition",13,2,0.27,"0.02810"
"148","GO:0008210","estrogen metabolic process",13,2,0.27,"0.02810"
"149","GO:0045986","negative regulation of smooth muscle con...",13,2,0.27,"0.02810"
"150","GO:0060563","neuroepithelial cell differentiation",57,4,1.17,"0.02902"
"151","GO:1905039","carboxylic acid transmembrane transport",124,6,2.54,"0.03029"
"152","GO:0007043","cell-cell junction assembly",115,6,2.36,"0.03163"
"153","GO:0007432","salivary gland boundary specification",14,2,0.29,"0.03235"
"154","GO:0031017","exocrine pancreas development",14,2,0.29,"0.03235"
"155","GO:0046628","positive regulation of insulin receptor ...",14,2,0.29,"0.03235"
"156","GO:0009725","response to hormone",703,26,14.41,"0.03280"
"157","GO:0008049","male courtship behavior",47,4,0.96,"0.03389"
"158","GO:0009410","response to xenobiotic stimulus",276,16,5.66,"0.03524"
"159","GO:0042178","xenobiotic catabolic process",15,2,0.31,"0.03683"
"160","GO:0021984","adenohypophysis development",15,2,0.31,"0.03683"
"161","GO:2000647","negative regulation of stem cell prolife...",36,3,0.74,"0.03687"
"162","GO:0002009","morphogenesis of an epithelium",724,16,14.85,"0.03707"
"163","GO:0071242","cellular response to ammonium ion",86,6,1.76,"0.03870"
"164","GO:0071326","cellular response to monosaccharide stim...",93,10,1.91,"0.03879"
"165","GO:0046942","carboxylic acid transport",212,10,4.35,"0.03939"
"166","GO:0061178","regulation of insulin secretion involved...",37,7,0.76,"0.03941"
"167","GO:0045669","positive regulation of osteoblast differ...",37,3,0.76,"0.03953"
"168","GO:0032530","regulation of microvillus organization",12,3,0.25,"0.04014"
"169","GO:0086015","SA node cell action potential",19,3,0.39,"0.04018"
"170","GO:0007632","visual behavior",70,6,1.44,"0.04018"
"171","GO:1903307","positive regulation of regulated secreto...",34,3,0.7,"0.04025"
"172","GO:0044419","biological process involved in interspec...",880,20,18.04,"0.04031"
"173","GO:0010894","negative regulation of steroid biosynthe...",16,2,0.33,"0.04154"
"174","GO:0070121","Kupffer's vesicle development",16,2,0.33,"0.04154"
"175","GO:0015851","nucleobase transport",16,2,0.33,"0.04154"
"176","GO:0051091","positive regulation of DNA-binding trans...",125,5,2.56,"0.04206"
"177","GO:0050909","sensory perception of taste",38,3,0.78,"0.04229"
"178","GO:2001023","regulation of response to drug",100,8,2.05,"0.04534"
"179","GO:0035902","response to immobilization stress",17,2,0.35,"0.04646"
"180","GO:0019852","L-ascorbic acid metabolic process",17,2,0.35,"0.04646"
"181","GO:0007190","activation of adenylate cyclase activity",17,2,0.35,"0.04646"
"182","GO:0071276","cellular response to cadmium ion",17,2,0.35,"0.04646"
"183","GO:0021633","optic nerve structural organization",17,2,0.35,"0.04646"
"184","GO:0070983","dendrite guidance",17,2,0.35,"0.04646"
"185","GO:2001258","negative regulation of cation channel ac...",17,2,0.35,"0.04646"
"186","GO:0040040","thermosensory behavior",17,2,0.35,"0.04646"
"187","GO:0086050","membrane repolarization during bundle of...",17,2,0.35,"0.04646"
"188","GO:0086052","membrane repolarization during SA node c...",17,2,0.35,"0.04646"
"189","GO:0071805","potassium ion transmembrane transport",121,7,2.48,"0.04649"
"190","GO:0060041","retina development in camera-type eye",159,6,3.26,"0.04810"
"191","GO:0070050","neuron cellular homeostasis",40,3,0.82,"0.04810"
"192","GO:0007612","learning",165,12,3.38,"0.04900"
"193","GO:0034308","primary alcohol metabolic process",41,3,0.84,"0.05114"
"194","GO:0097366","response to bronchodilator",41,3,0.84,"0.05114"
"195","GO:0048150","behavioral response to ether",18,2,0.37,"0.05157"
"196","GO:0045188","regulation of circadian sleep/wake cycle...",18,2,0.37,"0.05157"
"197","GO:0060372","regulation of atrial cardiac muscle cell...",18,2,0.37,"0.05157"
"198","GO:0098914","membrane repolarization during atrial ca...",18,2,0.37,"0.05157"
"199","GO:0007635","chemosensory behavior",119,11,2.44,"0.05253"
"200","GO:0019228","neuronal action potential",42,3,0.86,"0.05428"
"201","GO:0044058","regulation of digestive system process",31,4,0.64,"0.05578"
"202","GO:0021871","forebrain regionalization",19,2,0.39,"0.05688"
"203","GO:0043267","negative regulation of potassium ion tra...",43,3,0.88,"0.05750"
"204","GO:0019935","cyclic-nucleotide-mediated signaling",97,10,1.99,"0.05764"
"205","GO:0050951","sensory perception of temperature stimul...",29,5,0.59,"0.05899"
"206","GO:0046839","phospholipid dephosphorylation",21,2,0.43,"0.06004"
"207","GO:0035090","maintenance of apical/basal cell polarit...",23,2,0.47,"0.06005"
"208","GO:0032878","regulation of establishment or maintenan...",24,2,0.49,"0.06006"
"209","GO:0035262","gonad morphogenesis",44,3,0.9,"0.06082"
"210","GO:0006139","nucleobase-containing compound metabolic...",3215,51,65.92,"0.06171"
"211","GO:0051169","nuclear transport",313,3,6.42,"0.06193"
"212","GO:0042331","phototaxis",20,2,0.41,"0.06238"
"213","GO:1902855","regulation of non-motile cilium assembly",20,2,0.41,"0.06238"
"214","GO:2000288","positive regulation of myoblast prolifer...",20,2,0.41,"0.06238"
"215","GO:1903818","positive regulation of voltage-gated pot...",20,2,0.41,"0.06238"
"216","GO:0035725","sodium ion transmembrane transport",125,6,2.56,"0.06638"
"217","GO:0007212","dopamine receptor signaling pathway",31,3,0.64,"0.06745"
"218","GO:0070207","protein homotrimerization",46,3,0.94,"0.06770"
"219","GO:0071286","cellular response to magnesium ion",21,2,0.43,"0.06804"
"220","GO:0007213","G protein-coupled acetylcholine receptor...",21,2,0.43,"0.06804"
"221","GO:0050908","detection of light stimulus involved in ...",21,2,0.43,"0.06804"
"222","GO:0023041","neuronal signal transduction",21,2,0.43,"0.06804"
"223","GO:0046928","regulation of neurotransmitter secretion",66,6,1.35,"0.07139"
"224","GO:0007619","courtship behavior",69,6,1.41,"0.07144"
"225","GO:1901361","organic cyclic compound catabolic proces...",525,9,10.76,"0.07179"
"226","GO:0001964","startle response",35,4,0.72,"0.07248"
"227","GO:0060122","inner ear receptor cell stereocilium org...",32,3,0.66,"0.07323"
"228","GO:0060081","membrane hyperpolarization",22,2,0.45,"0.07386"
"229","GO:0035293","chitin-based larval cuticle pattern form...",22,2,0.45,"0.07386"
"230","GO:0016082","synaptic vesicle priming",22,2,0.45,"0.07386"
"231","GO:0050976","detection of mechanical stimulus involve...",22,2,0.45,"0.07386"
"232","GO:0008344","adult locomotory behavior",119,6,2.44,"0.07418"
"233","GO:0050954","sensory perception of mechanical stimulu...",181,15,3.71,"0.07445"
"234","GO:0048146","positive regulation of fibroblast prolif...",48,3,0.98,"0.07493"
"235","GO:0001541","ovarian follicle development",48,3,0.98,"0.07493"
"236","GO:0050796","regulation of insulin secretion",134,11,2.75,"0.07509"
"237","GO:0032355","response to estradiol",110,5,2.26,"0.07519"
"238","GO:0050953","sensory perception of light stimulus",97,8,1.99,"0.07707"
"239","GO:0031099","regeneration",220,9,4.51,"0.07778"
"240","GO:0043933","protein-containing complex organization",1852,23,37.97,"0.07805"
"241","GO:0032879","regulation of localization",1543,40,31.64,"0.07852"
"242","GO:0060079","excitatory postsynaptic potential",49,3,1,"0.07867"
"243","GO:0071384","cellular response to corticosteroid stim...",41,3,0.84,"0.07895"
"244","GO:1904659","glucose transmembrane transport",84,3,1.72,"0.07937"
"245","GO:0048681","negative regulation of axon regeneration",23,2,0.47,"0.07984"
"246","GO:1905476","negative regulation of protein localizat...",23,2,0.47,"0.07984"
"247","GO:0016199","axon midline choice point recognition",23,2,0.47,"0.07984"
"248","GO:1903831","signal transduction involved in cellular...",23,2,0.47,"0.07984"
"249","GO:0016358","dendrite development",284,12,5.82,"0.08158"
"250","GO:0045778","positive regulation of ossification",50,3,1.03,"0.08248"
"251","GO:0051954","positive regulation of amine transport",37,4,0.76,"0.08438"
"252","GO:0017158","regulation of calcium ion-dependent exoc...",43,3,0.88,"0.08541"
"253","GO:0050922","negative regulation of chemotaxis",24,2,0.49,"0.08597"
"254","GO:0042596","fear response",24,2,0.49,"0.08597"
"255","GO:0007271","synaptic transmission, cholinergic",53,4,1.09,"0.09083"
"256","GO:0050804","modulation of chemical synaptic transmis...",285,18,5.84,"0.09156"
"257","GO:0008217","regulation of blood pressure",100,4,2.05,"0.09177"
"258","GO:0007165","signal transduction",2761,84,56.61,"0.09222"
"259","GO:0048148","behavioral response to cocaine",25,2,0.51,"0.09222"
"260","GO:0080154","regulation of fertilization",25,2,0.51,"0.09222"
"261","GO:0010977","negative regulation of neuron projection...",121,5,2.48,"0.09358"
"262","GO:0098655","monoatomic cation transmembrane transpor...",539,21,11.05,"0.09484"
"263","GO:0032276","regulation of gonadotropin secretion",15,3,0.31,"0.09737"
"264","GO:1902884","positive regulation of response to oxida...",22,2,0.45,"0.09804"
"265","GO:0010172","embryonic body morphogenesis",54,3,1.11,"0.09852"
"266","GO:0017085","response to insecticide",26,2,0.53,"0.09861"
"267","GO:0055075","potassium ion homeostasis",26,2,0.53,"0.09861"
"268","GO:0006111","regulation of gluconeogenesis",26,2,0.53,"0.09861"
"269","GO:0008407","chaeta morphogenesis",26,2,0.53,"0.09861"
"270","GO:0031100","animal organ regeneration",86,4,1.76,"0.09979"
"271","GO:0051128","regulation of cellular component organiz...",1754,34,35.96,"0.10093"
"272","GO:0006936","muscle contraction",203,9,4.16,"0.10134"
"273","GO:0043588","skin development",128,5,2.62,"0.10197"
"274","GO:0006937","regulation of muscle contraction",118,5,2.42,"0.10387"
"275","GO:0060025","regulation of synaptic activity",27,2,0.55,"0.10512"
"276","GO:0001975","response to amphetamine",27,2,0.55,"0.10512"
"277","GO:0035722","interleukin-12-mediated signaling pathwa...",27,2,0.55,"0.10512"
"278","GO:0010644","cell communication by electrical couplin...",27,2,0.55,"0.10512"
"279","GO:0050768","negative regulation of neurogenesis",268,11,5.5,"0.10937"
"280","GO:0001934","positive regulation of protein phosphory...",516,15,10.58,"0.11000"
"281","GO:0006954","inflammatory response",239,7,4.9,"0.11308"
"282","GO:0016048","detection of temperature stimulus",27,4,0.55,"0.11515"
"283","GO:0060581","cell fate commitment involved in pattern...",41,3,0.84,"0.11604"
"284","GO:0060856","establishment of blood-brain barrier",30,2,0.62,"0.11657"
"285","GO:0048048","embryonic eye morphogenesis",36,2,0.74,"0.11666"
"286","GO:0021575","hindbrain morphogenesis",39,2,0.8,"0.11670"
"287","GO:0006835","dicarboxylic acid transport",65,4,1.33,"0.11693"
"288","GO:0021884","forebrain neuron development",29,2,0.59,"0.11847"
"289","GO:0032228","regulation of synaptic transmission, GAB...",29,2,0.59,"0.11847"
"290","GO:2001238","positive regulation of extrinsic apoptot...",29,2,0.59,"0.11847"
"291","GO:0060359","response to ammonium ion",147,9,3.01,"0.12188"
"292","GO:0001755","neural crest cell migration",30,2,0.62,"0.12530"
"293","GO:0071398","cellular response to fatty acid",30,2,0.62,"0.12530"
"294","GO:0048190","wing disc dorsal/ventral pattern formati...",30,2,0.62,"0.12530"
"295","GO:0009791","post-embryonic development",724,15,14.85,"0.12762"
"296","GO:0031175","neuron projection development",921,35,18.88,"0.12864"
"297","GO:0014909","smooth muscle cell migration",61,3,1.25,"0.12927"
"298","GO:0008306","associative learning",123,9,2.52,"0.13202"
"299","GO:0050769","positive regulation of neurogenesis",370,10,7.59,"0.13216"
"300","GO:0051481","negative regulation of cytosolic calcium...",31,2,0.64,"0.13222"
"301","GO:1901381","positive regulation of potassium ion tra...",33,3,0.68,"0.13389"
"302","GO:0006885","regulation of pH",63,3,1.29,"0.13437"
"303","GO:0097205","renal filtration",17,2,0.35,"0.13442"
"304","GO:0003309","type B pancreatic cell differentiation",28,2,0.57,"0.13460"
"305","GO:0009308","amine metabolic process",88,3,1.8,"0.13478"
"306","GO:0045682","regulation of epidermis development",40,2,0.82,"0.13479"
"307","GO:0009611","response to wounding",446,16,9.14,"0.13786"
"308","GO:0035162","embryonic hemopoiesis",47,3,0.96,"0.13825"
"309","GO:0007215","glutamate receptor signaling pathway",48,3,0.98,"0.13828"
"310","GO:0050770","regulation of axonogenesis",175,5,3.59,"0.13916"
"311","GO:0010960","magnesium ion homeostasis",32,2,0.66,"0.13922"
"312","GO:0034220","monoatomic ion transmembrane transport",693,29,14.21,"0.13923"
"313","GO:0007405","neuroblast proliferation",121,6,2.48,"0.14308"
"314","GO:0001952","regulation of cell-matrix adhesion",64,3,1.31,"0.14338"
"315","GO:0040017","positive regulation of locomotion",362,11,7.42,"0.14510"
"316","GO:0045665","negative regulation of neuron differenti...",191,7,3.92,"0.14524"
"317","GO:0035461","vitamin transmembrane transport",33,2,0.68,"0.14630"
"318","GO:0009268","response to pH",33,2,0.68,"0.14630"
"319","GO:0045540","regulation of cholesterol biosynthetic p...",33,2,0.68,"0.14630"
"320","GO:0010039","response to iron ion",33,2,0.68,"0.14630"
"321","GO:0045912","negative regulation of carbohydrate meta...",33,2,0.68,"0.14630"
"322","GO:0007155","cell adhesion",569,16,11.67,"0.14731"
"323","GO:0010975","regulation of neuron projection developm...",421,15,8.63,"0.14764"
"324","GO:0001708","cell fate specification",176,7,3.61,"0.14952"
"325","GO:0002027","regulation of heart rate",61,5,1.25,"0.14975"
"326","GO:1903998","regulation of eating behavior",36,5,0.74,"0.14976"
"327","GO:0035150","regulation of tube size",153,7,3.14,"0.15008"
"328","GO:0005996","monosaccharide metabolic process",193,7,3.96,"0.15080"
"329","GO:0030855","epithelial cell differentiation",563,16,11.54,"0.15177"
"330","GO:0003383","apical constriction",18,2,0.37,"0.15209"
"331","GO:0042044","fluid transport",20,2,0.41,"0.15213"
"332","GO:1901616","organic hydroxy compound catabolic proce...",27,2,0.55,"0.15226"
"333","GO:0031327","negative regulation of cellular biosynth...",1338,21,27.43,"0.15231"
"334","GO:0035303","regulation of dephosphorylation",121,3,2.48,"0.15308"
"335","GO:0098773","skin epidermis development",73,2,1.5,"0.15309"
"336","GO:0007565","female pregnancy",102,8,2.09,"0.15338"
"337","GO:0051966","regulation of synaptic transmission, glu...",34,2,0.7,"0.15346"
"338","GO:0060026","convergent extension",34,2,0.7,"0.15346"
"339","GO:0008345","larval locomotory behavior",34,2,0.7,"0.15346"
"340","GO:0045944","positive regulation of transcription by ...",635,17,13.02,"0.15447"
"341","GO:0031023","microtubule organizing center organizati...",161,2,3.3,"0.15472"
"342","GO:0098771","inorganic ion homeostasis",415,18,8.51,"0.15556"
"343","GO:0008585","female gonad development",83,5,1.7,"0.15749"
"344","GO:0009612","response to mechanical stimulus",219,10,4.49,"0.15905"
"345","GO:0009593","detection of chemical stimulus",54,3,1.11,"0.15972"
"346","GO:0021549","cerebellum development",80,3,1.64,"0.16055"
"347","GO:0072348","sulfur compound transport",35,2,0.72,"0.16068"
"348","GO:0042052","rhabdomere development",35,2,0.72,"0.16068"
"349","GO:0042074","cell migration involved in gastrulation",35,2,0.72,"0.16068"
"350","GO:0061025","membrane fusion",155,4,3.18,"0.16141"
"351","GO:0045666","positive regulation of neuron differenti...",300,9,6.15,"0.16270"
"352","GO:0042221","response to chemical",2490,77,51.06,"0.16527"
"353","GO:0021766","hippocampus development",79,4,1.62,"0.16623"
"354","GO:0050731","positive regulation of peptidyl-tyrosine...",72,3,1.48,"0.16753"
"355","GO:0046165","alcohol biosynthetic process",91,5,1.87,"0.16791"
"356","GO:0007413","axonal fasciculation",36,2,0.74,"0.16796"
"357","GO:0051602","response to electrical stimulus",36,2,0.74,"0.16796"
"358","GO:0006644","phospholipid metabolic process",269,8,5.52,"0.16851"
"359","GO:1902667","regulation of axon guidance",80,5,1.64,"0.16905"
"360","GO:0008355","olfactory learning",55,6,1.13,"0.16917"
"361","GO:0006357","regulation of transcription by RNA polym...",1173,31,24.05,"0.16996"
"362","GO:0099504","synaptic vesicle cycle",156,4,3.2,"0.17020"
"363","GO:2000146","negative regulation of cell motility",151,3,3.1,"0.17109"
"364","GO:0016999","antibiotic metabolic process",95,6,1.95,"0.17245"
"365","GO:0007157","heterophilic cell-cell adhesion via plas...",37,2,0.76,"0.17530"
"366","GO:0046326","positive regulation of glucose import",37,2,0.76,"0.17530"
"367","GO:0071385","cellular response to glucocorticoid stim...",37,2,0.76,"0.17530"
"368","GO:0007268","chemical synaptic transmission",493,25,10.11,"0.17863"
"369","GO:0097306","cellular response to alcohol",89,4,1.82,"0.18173"
"370","GO:0045937","positive regulation of phosphate metabol...",589,17,12.08,"0.18250"
"371","GO:0060259","regulation of feeding behavior",55,6,1.13,"0.18287"
"372","GO:0009649","entrainment of circadian clock",24,4,0.49,"0.18434"
"373","GO:0007420","brain development",620,21,12.71,"0.18526"
"374","GO:0051446","positive regulation of meiotic cell cycl...",27,2,0.55,"0.18653"
"375","GO:0097192","extrinsic apoptotic signaling pathway in...",33,2,0.68,"0.18666"
"376","GO:0060088","auditory receptor cell stereocilium orga...",10,1,0.21,"0.18722"
"377","GO:0021877","forebrain neuron fate commitment",10,1,0.21,"0.18722"
"378","GO:0021843","substrate-independent telencephalic tang...",10,1,0.21,"0.18722"
