# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/Trinity_20210112_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/Trinity_20210112_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SA01/Aligned.out.sam" "results/star/mapping/SA02/Aligned.out.sam" "results/star/mapping/SA03/Aligned.out.sam" "results/star/mapping/SA04/Aligned.out.sam" "results/star/mapping/SA05/Aligned.out.sam" "results/star/mapping/SA06/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SA01/Aligned.out.sam	results/star/mapping/SA02/Aligned.out.sam	results/star/mapping/SA03/Aligned.out.sam	results/star/mapping/SA04/Aligned.out.sam	results/star/mapping/SA05/Aligned.out.sam	results/star/mapping/SA06/Aligned.out.sam
TRINITY_DN4_c0_g1	TRINITY_DN4_c0_g1_i3	1	4097	-	4097	662	773	1678	465	479	986
TRINITY_DN86_c0_g2	TRINITY_DN86_c0_g2_i3	1	5975	-	5975	6323	2995	3218	1556	387	727
TRINITY_DN86_c0_g3	TRINITY_DN86_c0_g3_i3	1	6642	-	6642	9644	3884	4068	1125	362	146
TRINITY_DN86_c1_g1	TRINITY_DN86_c1_g1_i3	1	2013	-	2013	303	246	473	363	256	352
TRINITY_DN86_c2_g1	TRINITY_DN86_c2_g1_i1	1	744	-	744	753	319	341	52	11	1
TRINITY_DN6_c0_g1	TRINITY_DN6_c0_g1_i2	1	2274	-	2274	986	1391	3429	859	964	2239
TRINITY_DN99_c0_g1	TRINITY_DN99_c0_g1_i5	1	3419	-	3419	3447	4598	5074	2438	3272	5499
TRINITY_DN2_c0_g1	TRINITY_DN2_c0_g1_i19	1	2839	-	2839	399	3009	297	170	787	43
TRINITY_DN2_c7_g1	TRINITY_DN2_c7_g1_i1	1	1867	-	1867	521	51	2353	53	2	87
TRINITY_DN12_c0_g1	TRINITY_DN12_c0_g1_i2	1	3598	-	3598	1649	512	1682	742	88	363
TRINITY_DN12_c0_g2	TRINITY_DN12_c0_g2_i1	1	3721	-	3721	2791	3001	5604	2483	1668	2418
TRINITY_DN76_c0_g1	TRINITY_DN76_c0_g1_i1	1	2462	-	2462	2451	1290	3302	1922	864	1715
TRINITY_DN43_c0_g1	TRINITY_DN43_c0_g1_i3	1	2114	-	2114	819	429	699	1332	587	579
TRINITY_DN43_c0_g2	TRINITY_DN43_c0_g2_i2	1	13948	-	13948	4920	5229	8197	4481	4867	8153
TRINITY_DN40_c0_g1	TRINITY_DN40_c0_g1_i6	1	3020	-	3020	451	422	786	517	456	758
TRINITY_DN94_c0_g1	TRINITY_DN94_c0_g1_i2	1	2849	-	2849	11	2	13829	2	0	15366
TRINITY_DN68_c0_g1	TRINITY_DN68_c0_g1_i13	1	4550	-	4550	25899	12565	2599	21040	4563	996
TRINITY_DN83_c0_g1	TRINITY_DN83_c0_g1_i2	1	3755	-	3755	31	86220	8057	4459	102867	13042
TRINITY_DN98_c0_g1	TRINITY_DN98_c0_g1_i2	1	1818	-	1818	443	1002	1375	752	2320	1269
TRINITY_DN60_c0_g1	TRINITY_DN60_c0_g1_i3	1	2578	-	2578	1699	2585	4377	891	1296	1832
TRINITY_DN60_c1_g1	TRINITY_DN60_c1_g1_i5	1	2817	-	2817	19	17914	3750	532	15347	2739
TRINITY_DN34_c0_g1	TRINITY_DN34_c0_g1_i6	1	1506	-	1506	2321	2334	3317	1319	1419	1672
TRINITY_DN37_c0_g1	TRINITY_DN37_c0_g1_i2	1	3028	-	3028	3404	1468	1488	5329	936	1372
TRINITY_DN37_c0_g2	TRINITY_DN37_c0_g2_i2	1	342	-	342	13	10	10	8	1	3
TRINITY_DN89_c0_g1	TRINITY_DN89_c0_g1_i1	1	9628	-	9628	1508	1354	1805	1173	843	1486
TRINITY_DN89_c0_g3	TRINITY_DN89_c0_g3_i3	1	3243	-	3243	1027	1447	2323	822	1333	1306
TRINITY_DN64_c0_g1	TRINITY_DN64_c0_g1_i1	1	2254	-	2254	1167	1069	424	4134	2700	326
TRINITY_DN64_c0_g2	TRINITY_DN64_c0_g2_i1	1	1451	-	1451	9	1	2907	8	5	3113
TRINITY_DN93_c0_g1	TRINITY_DN93_c0_g1_i4	1	2215	-	2215	1971	1890	2026	866	461	561
TRINITY_DN36_c0_g1	TRINITY_DN36_c0_g1_i1	1	958	-	958	43	628	216	60	178	10
TRINITY_DN79_c0_g1	TRINITY_DN79_c0_g1_i14	1	4861	-	4861	2440	1737	1638	1099	534	803
TRINITY_DN80_c0_g2	TRINITY_DN80_c0_g2_i5	1	4373	-	4373	1843	2092	1782	1351	1126	1445
TRINITY_DN49_c0_g1	TRINITY_DN49_c0_g1_i3	1	1427	-	1427	407	178	175	361	58	28
TRINITY_DN16_c0_g1	TRINITY_DN16_c0_g1_i3	1	3359	-	3359	6466	1295	1053	4053	291	268
TRINITY_DN81_c0_g1	TRINITY_DN81_c0_g1_i4	1	7675	-	7675	18160	5372	2169	6041	992	624
TRINITY_DN17_c0_g1	TRINITY_DN17_c0_g1_i2	1	5623	-	5623	7039	3599	3019	2863	1195	1651
TRINITY_DN17_c0_g2	TRINITY_DN17_c0_g2_i6	1	7953	-	7953	1838	1906	2553	1428	1109	1996
TRINITY_DN13_c0_g1	TRINITY_DN13_c0_g1_i6	1	2774	-	2774	5319	2508	2412	3134	653	692
TRINITY_DN13_c1_g1	TRINITY_DN13_c1_g1_i3	1	1943	-	1943	653	487	701	802	622	771
TRINITY_DN62_c0_g1	TRINITY_DN62_c0_g1_i1	1	986	-	986	345	460	729	5	32	32
TRINITY_DN62_c0_g2	TRINITY_DN62_c0_g2_i5	1	1451	-	1451	628	248	694	19	70	90
TRINITY_DN62_c1_g1	TRINITY_DN62_c1_g1_i2	1	1851	-	1851	10483	7594	10714	8260	5570	7735
TRINITY_DN19_c0_g1	TRINITY_DN19_c0_g1_i5	1	4710	-	4710	5530	985	957	6394	555	369
TRINITY_DN46_c0_g1	TRINITY_DN46_c0_g1_i2	1	1195	-	1195	608	951	1521	510	683	895
TRINITY_DN46_c2_g1	TRINITY_DN46_c2_g1_i1	1	2956	-	2956	27	3063	284	238	3546	529
TRINITY_DN51_c0_g1	TRINITY_DN51_c0_g1_i1	1	2746	-	2746	38	223	973	5	75	215
TRINITY_DN51_c0_g2	TRINITY_DN51_c0_g2_i1	1	661	-	661	12	20	137	0	0	135
TRINITY_DN51_c1_g1	TRINITY_DN51_c1_g1_i1	1	4294	-	4294	12520	1482	2819	13546	1810	1185
TRINITY_DN54_c0_g1	TRINITY_DN54_c0_g1_i3	1	1107	-	1107	172	167	477	263	170	383
TRINITY_DN54_c1_g1	TRINITY_DN54_c1_g1_i2	1	2354	-	2354	1136	1090	1257	625	414	764
TRINITY_DN95_c0_g1	TRINITY_DN95_c0_g1_i5	1	3625	-	3625	2187	2606	4996	3604	2855	4739
TRINITY_DN41_c0_g1	TRINITY_DN41_c0_g1_i3	1	825	-	825	121	240	675	159	204	545
TRINITY_DN41_c0_g2	TRINITY_DN41_c0_g2_i3	1	801	-	801	97	156	670	179	216	459
TRINITY_DN41_c0_g3	TRINITY_DN41_c0_g3_i2	1	713	-	713	39	57	321	79	76	289
TRINITY_DN45_c0_g1	TRINITY_DN45_c0_g1_i3	1	5582	-	5582	3266	1629	1741	1878	417	711
TRINITY_DN45_c0_g3	TRINITY_DN45_c0_g3_i1	1	3390	-	3390	1457	1718	3674	1494	1772	3514
TRINITY_DN45_c1_g1	TRINITY_DN45_c1_g1_i2	1	433	-	433	13	12212	245	1356	25212	754
TRINITY_DN45_c1_g2	TRINITY_DN45_c1_g2_i1	1	833	-	833	22	22760	4601	1371	53368	13445
TRINITY_DN45_c2_g1	TRINITY_DN45_c2_g1_i2	1	1484	-	1484	52	3313	497	218	7045	1174
TRINITY_DN45_c2_g3	TRINITY_DN45_c2_g3_i1	1	751	-	751	15	1534	289	142	4198	798
TRINITY_DN23_c0_g1	TRINITY_DN23_c0_g1_i2	1	21986	-	21986	8326	22292	17139	1096	3926	3775
TRINITY_DN47_c0_g1	TRINITY_DN47_c0_g1_i1	1	4105	-	4105	3322	1668	1092	2798	389	666
TRINITY_DN47_c0_g2	TRINITY_DN47_c0_g2_i2	1	2234	-	2234	1564	483	530	914	205	439
TRINITY_DN87_c0_g1	TRINITY_DN87_c0_g1_i1	1	3146	-	3146	1543	806	798	834	550	499
TRINITY_DN87_c0_g2	TRINITY_DN87_c0_g2_i3	1	2190	-	2190	268	42	3683	119	0	2697
TRINITY_DN87_c0_g3	TRINITY_DN87_c0_g3_i2	1	1908	-	1908	522	747	3090	46	189	1472
TRINITY_DN87_c1_g1	TRINITY_DN87_c1_g1_i1	1	611	-	611	86	168	369	30	85	93
TRINITY_DN84_c0_g1	TRINITY_DN84_c0_g1_i2	1	5243	-	5243	2647	4433	9867	2188	3177	6574
TRINITY_DN14_c0_g1	TRINITY_DN14_c0_g1_i8	1	26226	-	26226	12624	2795	6556	13058	1583	5296
TRINITY_DN71_c0_g1	TRINITY_DN71_c0_g1_i4	1	2208	-	2208	876	749	1111	344	257	509
TRINITY_DN71_c1_g1	TRINITY_DN71_c1_g1_i9	1	5283	-	5283	1781	1665	2700	1073	807	2361
TRINITY_DN44_c0_g1	TRINITY_DN44_c0_g1_i1	1	4098	-	4098	1275	1699	1368	1041	859	1368
TRINITY_DN90_c0_g1	TRINITY_DN90_c0_g1_i9	1	1984	-	1984	1038	2387	5760	1836	4227	6412
TRINITY_DN75_c0_g1	TRINITY_DN75_c0_g1_i1	1	2713	-	2713	37	3573	410	16	510	43
TRINITY_DN63_c0_g1	TRINITY_DN63_c0_g1_i2	1	1294	-	1294	1286	901	987	979	520	576
TRINITY_DN63_c0_g2	TRINITY_DN63_c0_g2_i6	1	3983	-	3983	1464	1159	2278	1400	903	1404
TRINITY_DN35_c0_g1	TRINITY_DN35_c0_g1_i1	1	831	-	831	75	394	114	134	577	341
TRINITY_DN73_c0_g1	TRINITY_DN73_c0_g1_i2	1	6329	-	6329	30625	32565	42195	9598	6149	6802
TRINITY_DN48_c0_g1	TRINITY_DN48_c0_g1_i2	1	2373	-	2373	368	775	1905	305	732	802
TRINITY_DN48_c0_g2	TRINITY_DN48_c0_g2_i1	1	2727	-	2727	11	2333	515	75	3118	1564
TRINITY_DN55_c0_g1	TRINITY_DN55_c0_g1_i12	1	2039	-	2039	21	85	14329	23	58	6496
TRINITY_DN55_c1_g1	TRINITY_DN55_c1_g1_i2	1	2386	-	2386	9	12786	863	439	7522	847
TRINITY_DN61_c0_g1	TRINITY_DN61_c0_g1_i1	1	871	-	871	528	514	978	737	724	649
TRINITY_DN61_c1_g1	TRINITY_DN61_c1_g1_i5	1	1467	-	1467	128	147	201	135	109	230
TRINITY_DN29_c0_g1	TRINITY_DN29_c0_g1_i8	1	3082	-	3082	714	464	419	1003	317	304
TRINITY_DN70_c0_g2	TRINITY_DN70_c0_g2_i1	1	3146	-	3146	9285	15038	61723	3404	2609	12007
TRINITY_DN70_c0_g3	TRINITY_DN70_c0_g3_i1	1	1109	-	1109	315	311	642	696	502	916
TRINITY_DN70_c0_g4	TRINITY_DN70_c0_g4_i1	1	3545	-	3545	1325	962	2575	239	331	570
TRINITY_DN70_c0_g5	TRINITY_DN70_c0_g5_i1	1	1520	-	1520	320	300	244	153	212	184
TRINITY_DN22_c0_g2	TRINITY_DN22_c0_g2_i6	1	4408	-	4408	3136	2794	3747	1748	1131	1865
TRINITY_DN22_c0_g3	TRINITY_DN22_c0_g3_i2	1	1384	-	1384	2	1	925	0	1	208
TRINITY_DN22_c1_g1	TRINITY_DN22_c1_g1_i3	1	1308	-	1308	175	123	325	249	95	274
TRINITY_DN22_c2_g1	TRINITY_DN22_c2_g1_i1	1	4717	-	4717	2677	2065	3024	1420	982	1457
TRINITY_DN0_c0_g1	TRINITY_DN0_c0_g1_i3	1	2694	-	2694	3281	2396	2850	6349	4431	3876
TRINITY_DN26_c6_g2	TRINITY_DN26_c6_g2_i2	1	1634	-	1634	744	902	1077	498	416	752
TRINITY_DN26_c9_g1	TRINITY_DN26_c9_g1_i4	1	3892	-	3892	1781	1364	1606	1210	934	805
TRINITY_DN26_c19_g1	TRINITY_DN26_c19_g1_i4	1	1956	-	1956	1675	1450	1828	1430	800	1208
TRINITY_DN26_c35_g1	TRINITY_DN26_c35_g1_i5	1	1223	-	1223	1299	788	521	2614	1728	1698
TRINITY_DN57_c0_g1	TRINITY_DN57_c0_g1_i2	1	2694	-	2694	1553	1118	979	1146	691	849
TRINITY_DN9_c0_g1	TRINITY_DN9_c0_g1_i1	1	2644	-	2644	2917	1963	2317	1954	1288	1404
TRINITY_DN9_c2_g1	TRINITY_DN9_c2_g1_i4	1	2236	-	2236	1074	921	1053	713	397	284
TRINITY_DN9_c2_g2	TRINITY_DN9_c2_g2_i3	1	1621	-	1621	395	361	634	122	40	91
TRINITY_DN9_c3_g1	TRINITY_DN9_c3_g1_i1	1	2359	-	2359	2547	1984	2884	1955	2075	2131
TRINITY_DN74_c0_g2	TRINITY_DN74_c0_g2_i1	1	1620	-	1620	430	213	211	607	334	554
TRINITY_DN33_c0_g1	TRINITY_DN33_c0_g1_i2	1	5811	-	5811	4888	968	2354	2505	176	518
TRINITY_DN5_c1_g1	TRINITY_DN5_c1_g1_i9	1	1931	-	1931	1792	1995	2588	986	600	661
TRINITY_DN5_c1_g2	TRINITY_DN5_c1_g2_i1	1	4457	-	4457	8167	6396	8416	4869	3991	4022
TRINITY_DN5_c2_g1	TRINITY_DN5_c2_g1_i1	1	1976	-	1976	598	476	404	318	179	389
TRINITY_DN96_c0_g1	TRINITY_DN96_c0_g1_i3	1	2208	-	2208	10168	1306	91	10132	1169	198
TRINITY_DN27_c0_g1	TRINITY_DN27_c0_g1_i14	1	3670	-	3670	1873	1411	3009	1206	856	1320
TRINITY_DN7_c0_g1	TRINITY_DN7_c0_g1_i2	1	1736	-	1736	5802	970	616	4038	582	535
TRINITY_DN7_c0_g2	TRINITY_DN7_c0_g2_i1	1	974	-	974	197	130	55	117	5	5
TRINITY_DN7_c0_g4	TRINITY_DN7_c0_g4_i1	1	1295	-	1295	1348	378	91	398	72	15
TRINITY_DN7_c0_g5	TRINITY_DN7_c0_g5_i1	1	1596	-	1596	670	165	57	192	19	17
TRINITY_DN7_c6_g1	TRINITY_DN7_c6_g1_i1	1	1292	-	1292	5657	6922	4321	4454	1476	274
TRINITY_DN11_c0_g1	TRINITY_DN11_c0_g1_i2	1	2091	-	2091	1540	1534	2435	862	1009	1075
TRINITY_DN109_c0_g3	TRINITY_DN109_c0_g3_i1	1	2422	-	2422	19	34	16	7	1	6
TRINITY_DN109_c0_g1	TRINITY_DN109_c0_g1_i5	1	1256	-	1256	946	418	886	734	214	296
TRINITY_DN109_c0_g2	TRINITY_DN109_c0_g2_i2	1	1257	-	1257	244	186	227	198	76	54
TRINITY_DN109_c0_g4	TRINITY_DN109_c0_g4_i1	1	2430	-	2430	15	12	4	24	1	5
TRINITY_DN195_c0_g2	TRINITY_DN195_c0_g2_i4	1	1222	-	1222	1869	46	102	1205	20	15
TRINITY_DN195_c0_g3	TRINITY_DN195_c0_g3_i1	1	307	-	307	5	0	43	3	0	6
TRINITY_DN167_c0_g1	TRINITY_DN167_c0_g1_i3	1	1309	-	1309	141	158	334	208	278	354
TRINITY_DN167_c1_g1	TRINITY_DN167_c1_g1_i1	1	4936	-	4936	1772	1744	2445	1443	1301	1808
TRINITY_DN191_c0_g2	TRINITY_DN191_c0_g2_i4	1	5098	-	5098	2025	3283	2390	1258	2190	1239
TRINITY_DN108_c0_g1	TRINITY_DN108_c0_g1_i5	1	3300	-	3300	29533	1124	154	33690	956	150
TRINITY_DN180_c0_g1	TRINITY_DN180_c0_g1_i14	1	28528	-	28528	1145	13411	3654	1013	9032	4655
TRINITY_DN180_c0_g2	TRINITY_DN180_c0_g2_i1	1	2717	-	2717	1689	2117	3879	3070	4841	8139
TRINITY_DN150_c0_g3	TRINITY_DN150_c0_g3_i5	1	2345	-	2345	34024	34230	35178	39328	31296	25286
TRINITY_DN150_c1_g1	TRINITY_DN150_c1_g1_i1	1	4563	-	4563	175	6155	383	729	10992	1197
TRINITY_DN192_c0_g1	TRINITY_DN192_c0_g1_i3	1	3386	-	3386	5560	5522	5567	4185	6086	3985
TRINITY_DN192_c0_g2	TRINITY_DN192_c0_g2_i1	1	2523	-	2523	283	461	1397	855	1109	2306
TRINITY_DN192_c1_g2	TRINITY_DN192_c1_g2_i1	1	325	-	325	9	9	18	53	17	19
TRINITY_DN126_c0_g1	TRINITY_DN126_c0_g1_i6	1	5270	-	5270	2523	1782	2414	1964	814	1014
TRINITY_DN126_c1_g1	TRINITY_DN126_c1_g1_i3	1	2830	-	2830	1804	1306	1554	1271	1045	1548
TRINITY_DN126_c2_g1	TRINITY_DN126_c2_g1_i1	1	1647	-	1647	96	192	249	142	101	80
TRINITY_DN126_c4_g1	TRINITY_DN126_c4_g1_i1	1	2114	-	2114	1378	1311	1944	1495	1785	1377
TRINITY_DN158_c0_g1	TRINITY_DN158_c0_g1_i8	1	814	-	814	6	314	87	3	54	84
TRINITY_DN103_c0_g1	TRINITY_DN103_c0_g1_i1	1	3278	-	3278	2141	3338	689	2406	2681	444
TRINITY_DN103_c0_g2	TRINITY_DN103_c0_g2_i4	1	2698	-	2698	7310	1606	2905	2521	336	1280
TRINITY_DN130_c0_g1	TRINITY_DN130_c0_g1_i2	1	2502	-	2502	1993	2397	4458	2058	1911	2639
TRINITY_DN153_c0_g1	TRINITY_DN153_c0_g1_i2	1	2675	-	2675	1971	2260	3581	2431	2476	3671
TRINITY_DN153_c0_g2	TRINITY_DN153_c0_g2_i2	1	3377	-	3377	1672	1340	1398	1031	849	929
TRINITY_DN153_c1_g1	TRINITY_DN153_c1_g1_i2	1	4278	-	4278	3399	5641	10788	1874	1079	1911
TRINITY_DN118_c0_g1	TRINITY_DN118_c0_g1_i1	1	2792	-	2792	7124	10297	19179	6185	9117	14442
TRINITY_DN182_c0_g1	TRINITY_DN182_c0_g1_i2	1	1284	-	1284	1477	2109	4231	1685	1879	2782
TRINITY_DN140_c0_g1	TRINITY_DN140_c0_g1_i13	1	3297	-	3297	8799	5321	11995	3244	1376	3627
TRINITY_DN140_c0_g2	TRINITY_DN140_c0_g2_i2	1	1287	-	1287	2522	2365	1827	1225	2442	612
TRINITY_DN124_c0_g1	TRINITY_DN124_c0_g1_i1	1	1349	-	1349	290	459	1046	269	252	418
TRINITY_DN124_c0_g2	TRINITY_DN124_c0_g2_i1	1	1233	-	1233	308	320	529	439	253	402
TRINITY_DN124_c0_g3	TRINITY_DN124_c0_g3_i4	1	2569	-	2569	292	236	606	240	74	259
TRINITY_DN124_c0_g4	TRINITY_DN124_c0_g4_i1	1	2568	-	2568	1924	556	77	4690	486	55
TRINITY_DN124_c0_g5	TRINITY_DN124_c0_g5_i1	1	623	-	623	115	168	463	72	70	132
TRINITY_DN124_c1_g1	TRINITY_DN124_c1_g1_i2	1	822	-	822	69	91	204	18	28	100
TRINITY_DN124_c1_g2	TRINITY_DN124_c1_g2_i1	1	742	-	742	17	36	116	6	8	9
TRINITY_DN124_c2_g1	TRINITY_DN124_c2_g1_i1	1	439	-	439	45	33	23	70	65	35
TRINITY_DN168_c0_g1	TRINITY_DN168_c0_g1_i1	1	2015	-	2015	2155	1709	3324	897	423	834
