"","GO.ID","Term","Annotated","Significant","Expected","classic","KS"
"26","GO:0015718","monocarboxylic acid transport",114,13,6.05,"1.7e-05","0.86947"
"27","GO:0051674","localization of cell",789,69,41.9,"1.9e-05","0.49786"
"28","GO:0023041","neuronal signal transduction",18,7,0.96,"2.2e-05","0.97626"
"29","GO:0072375","medium-term memory",31,9,1.65,"2.2e-05","0.24927"
"30","GO:0045214","sarcomere organization",77,14,4.09,"2.5e-05","0.40457"
"31","GO:0071286","cellular response to magnesium ion",13,6,0.69,"2.7e-05","0.88486"
"32","GO:0001964","startle response",29,8,1.54,"3.3e-05","0.98344"
"33","GO:0001662","behavioral fear response",33,9,1.75,"3.8e-05","0.51108"
"34","GO:0019228","neuronal action potential",37,10,1.97,"3.9e-05","0.98191"
"35","GO:0007601","visual perception",116,18,6.16,"4.5e-05","0.58663"
"36","GO:0007637","proboscis extension reflex",14,6,0.74,"4.5e-05","0.72666"
"37","GO:0007268","chemical synaptic transmission",533,76,28.31,"4.7e-05","0.99979"
"38","GO:0071805","potassium ion transmembrane transport",109,24,5.79,"4.8e-05","0.88104"
"39","GO:0021682","nerve maturation",20,7,1.06,"4.8e-05","0.93578"
"40","GO:1990573","potassium ion import across plasma membr...",15,6,0.8,"7.2e-05","0.73840"
"41","GO:0040039","inductive cell migration",28,8,1.49,"7.2e-05","0.96087"
"42","GO:0060079","excitatory postsynaptic potential",51,10,2.71,"9.4e-05","0.99667"
"43","GO:0045646","regulation of erythrocyte differentiatio...",35,7,1.86,"0.00011","0.80823"
"44","GO:0030513","positive regulation of BMP signaling pat...",38,9,2.02,"0.00013","0.81984"
"45","GO:0050976","detection of mechanical stimulus involve...",23,7,1.22,"0.00013","0.69623"
"46","GO:0010648","negative regulation of cell communicatio...",1066,64,56.62,"0.00014","0.99966"
"47","GO:1904659","glucose transmembrane transport",67,8,3.56,"0.00015","0.99998"
"48","GO:0002682","regulation of immune system process",799,46,42.43,"0.00015","0.99862"
"49","GO:0030727","germarium-derived female germ-line cyst ...",39,9,2.07,"0.00016","0.62843"
"50","GO:0007638","mechanosensory behavior",39,9,2.07,"0.00016","0.99986"
"51","GO:0009266","response to temperature stimulus",335,28,17.79,"0.00017","0.82956"
"52","GO:0002087","regulation of respiratory gaseous exchan...",24,7,1.27,"0.00018","0.98002"
"53","GO:0016334","establishment or maintenance of polarity...",40,9,2.12,"0.00019","0.90165"
"54","GO:0006836","neurotransmitter transport",248,30,13.17,"0.00020","0.96271"
"55","GO:0007605","sensory perception of sound",157,21,8.34,"0.00020","0.99381"
"56","GO:1904646","cellular response to amyloid-beta",32,8,1.7,"0.00020","0.78442"
"57","GO:0007619","courtship behavior",56,11,2.97,"0.00023","0.77661"
"58","GO:0045988","negative regulation of striated muscle c...",18,6,0.96,"0.00023","0.98499"
"59","GO:0050965","detection of temperature stimulus involv...",18,6,0.96,"0.00023","0.99874"
"60","GO:0048714","positive regulation of oligodendrocyte d...",18,6,0.96,"0.00023","0.99947"
"61","GO:0097067","cellular response to thyroid hormone sti...",41,9,2.18,"0.00024","0.53272"
"62","GO:0048150","behavioral response to ether",12,5,0.64,"0.00024","0.51477"
"63","GO:1904261","positive regulation of basement membrane...",12,5,0.64,"0.00024","0.99965"
"64","GO:1903351","cellular response to dopamine",58,10,3.08,"0.00032","0.32807"
"65","GO:0035235","ionotropic glutamate receptor signaling ...",19,6,1.01,"0.00033","0.83429"
"66","GO:0006937","regulation of muscle contraction",133,20,7.06,"0.00036","0.97702"
"67","GO:0045823","positive regulation of heart contraction",28,6,1.49,"0.00037","0.82704"
"68","GO:2000288","positive regulation of myoblast prolifer...",13,5,0.69,"0.00037","0.88486"
"69","GO:1903818","positive regulation of voltage-gated pot...",13,5,0.69,"0.00037","0.62578"
"70","GO:0007630","jump response",13,5,0.69,"0.00037","0.97880"
"71","GO:0040017","positive regulation of locomotion",385,38,20.45,"0.00040","0.98673"
"72","GO:0032879","regulation of localization",1647,102,87.47,"0.00041","0.79745"
"73","GO:0042491","inner ear auditory receptor cell differe...",48,8,2.55,"0.00044","0.99841"
"74","GO:0045188","regulation of circadian sleep/wake cycle...",20,6,1.06,"0.00045","0.98333"
"75","GO:0008345","larval locomotory behavior",36,8,1.91,"0.00048","0.06583"
"76","GO:0051966","regulation of synaptic transmission, glu...",58,11,3.08,"0.00049","0.70496"
"77","GO:0008045","motor neuron axon guidance",96,14,5.1,"0.00051","0.44472"
"78","GO:0071260","cellular response to mechanical stimulus",96,14,5.1,"0.00051","0.99614"
"79","GO:0010644","cell communication by electrical couplin...",24,9,1.27,"0.00054","0.86696"
"80","GO:0043058","regulation of backward locomotion",14,5,0.74,"0.00056","0.87643"
"81","GO:0098810","neurotransmitter reuptake",14,5,0.74,"0.00056","0.83341"
"82","GO:0007365","periodic partitioning",30,7,1.59,"0.00056","0.68561"
"83","GO:0021517","ventral spinal cord development",26,4,1.38,"0.00057","0.99913"
"84","GO:0010811","positive regulation of cell-substrate ad...",77,12,4.09,"0.00058","0.92143"
"85","GO:0070207","protein homotrimerization",37,8,1.97,"0.00059","0.96367"
"86","GO:1901020","negative regulation of calcium ion trans...",21,6,1.12,"0.00060","0.50733"
"87","GO:0051124","synaptic assembly at neuromuscular junct...",144,14,7.65,"0.00063","0.63536"
"88","GO:0007618","mating",133,17,7.06,"0.00065","0.34065"
"89","GO:0009914","hormone transport",217,21,11.52,"0.00076","0.99675"
"90","GO:0086013","membrane repolarization during cardiac m...",29,9,1.54,"0.00077","0.86369"
"91","GO:0036376","sodium ion export across plasma membrane",15,5,0.8,"0.00080","0.97557"
"92","GO:0031643","positive regulation of myelination",15,5,0.8,"0.00080","0.99956"
"93","GO:0019991","septate junction assembly",30,7,1.59,"0.00080","0.94999"
"94","GO:0021515","cell differentiation in spinal cord",31,5,1.65,"0.00080","0.89793"
"95","GO:0019048","modulation by virus of host process",45,6,2.39,"0.00080","0.98591"
"96","GO:0098656","monoatomic anion transmembrane transport",240,32,12.75,"0.00089","0.79106"
"97","GO:0045822","negative regulation of heart contraction",23,6,1.22,"0.00101","0.95606"
"98","GO:1902475","L-alpha-amino acid transmembrane transpo...",57,14,3.03,"0.00113","0.77398"
"99","GO:0035150","regulation of tube size",167,24,8.87,"0.00116","0.98772"
"100","GO:0007293","germarium-derived egg chamber formation",111,19,5.9,"0.00117","0.61258"
"101","GO:0086064","cell communication by electrical couplin...",10,4,0.53,"0.00128","0.85565"
"102","GO:0086050","membrane repolarization during bundle of...",10,4,0.53,"0.00128","0.63899"
"103","GO:0086052","membrane repolarization during SA node c...",10,4,0.53,"0.00128","0.63899"
"104","GO:0021633","optic nerve structural organization",10,4,0.53,"0.00128","0.63899"
"105","GO:0030007","intracellular potassium ion homeostasis",10,4,0.53,"0.00128","0.85565"
"106","GO:0060075","regulation of resting membrane potential",10,4,0.53,"0.00128","0.97370"
"107","GO:0050953","sensory perception of light stimulus",123,21,6.53,"0.00128","0.99978"
"108","GO:0035262","gonad morphogenesis",51,9,2.71,"0.00129","0.96896"
"109","GO:0021510","spinal cord development",89,15,4.73,"0.00137","0.94617"
"110","GO:0010717","regulation of epithelial to mesenchymal ...",57,9,3.03,"0.00148","0.89465"
"111","GO:1903798","regulation of miRNA processing",17,5,0.9,"0.00150","0.74423"
"112","GO:0071242","cellular response to ammonium ion",87,14,4.62,"0.00157","0.33280"
"113","GO:1902476","chloride transmembrane transport",43,8,2.28,"0.00167","0.91996"
"114","GO:0016203","muscle attachment",43,8,2.28,"0.00167","0.96539"
"115","GO:0045197","establishment or maintenance of epitheli...",86,11,4.57,"0.00173","0.98126"
"116","GO:0001946","lymphangiogenesis",11,4,0.58,"0.00192","0.98175"
"117","GO:0010881","regulation of cardiac muscle contraction...",11,4,0.58,"0.00192","0.94245"
"118","GO:0010958","regulation of amino acid import across p...",11,4,0.58,"0.00192","0.98203"
"119","GO:0086036","regulation of cardiac muscle cell membra...",18,5,0.96,"0.00199","0.97075"
"120","GO:0007295","growth of a germarium-derived egg chambe...",18,5,0.96,"0.00199","0.99947"
"121","GO:0051580","regulation of neurotransmitter uptake",18,5,0.96,"0.00199","0.92153"
"122","GO:0006727","ommochrome biosynthetic process",18,5,0.96,"0.00199","0.99515"
"123","GO:0001707","mesoderm formation",109,12,5.79,"0.00207","0.52685"
"124","GO:0002532","production of molecular mediator involve...",35,7,1.86,"0.00209","0.84521"
"125","GO:0014059","regulation of dopamine secretion",35,7,1.86,"0.00209","0.54814"
"126","GO:0030010","establishment of cell polarity",192,13,10.2,"0.00255","0.35206"
"127","GO:0048047","mating behavior, sex discrimination",19,5,1.01,"0.00259","0.33007"
"128","GO:0086004","regulation of cardiac muscle cell contra...",19,5,1.01,"0.00259","0.98627"
"129","GO:0048266","behavioral response to pain",19,5,1.01,"0.00259","0.65426"
"130","GO:0071294","cellular response to zinc ion",19,5,1.01,"0.00259","0.88583"
"131","GO:0048703","embryonic viscerocranium morphogenesis",19,5,1.01,"0.00259","0.92158"
"132","GO:2000650","negative regulation of sodium ion transm...",19,5,1.01,"0.00259","0.96914"
"133","GO:0010960","magnesium ion homeostasis",41,6,2.18,"0.00259","0.74539"
"134","GO:0046456","icosanoid biosynthetic process",25,4,1.33,"0.00264","0.99578"
"135","GO:0001764","neuron migration",149,18,7.91,"0.00266","0.48684"
"136","GO:0008306","associative learning",151,22,8.02,"0.00269","0.56038"
"137","GO:0014047","glutamate secretion",34,8,1.81,"0.00271","0.40996"
"138","GO:0060372","regulation of atrial cardiac muscle cell...",12,4,0.64,"0.00276","0.51477"
"139","GO:0035002","liquid clearance, open tracheal system",12,4,0.64,"0.00276","0.97703"
"140","GO:0006883","intracellular sodium ion homeostasis",12,4,0.64,"0.00276","0.98041"
"141","GO:0003171","atrioventricular valve development",17,5,0.9,"0.00279","0.99912"
"142","GO:0008363","larval chitin-based cuticle development",22,5,1.17,"0.00279","0.99955"
"143","GO:0048813","dendrite morphogenesis",228,17,12.11,"0.00293","0.89561"
"144","GO:0010470","regulation of gastrulation",93,11,4.94,"0.00299","0.96026"
"145","GO:0040011","locomotion",1500,129,79.66,"0.00301","0.64617"
"146","GO:0045838","positive regulation of membrane potentia...",28,6,1.49,"0.00301","0.58419"
"147","GO:0048841","regulation of axon extension involved in...",32,6,1.7,"0.00329","0.99907"
"148","GO:0016331","morphogenesis of embryonic epithelium",287,19,15.24,"0.00334","0.54542"
"149","GO:0007314","oocyte anterior/posterior axis specifica...",85,6,4.51,"0.00337","0.40916"
"150","GO:0032228","regulation of synaptic transmission, GAB...",38,7,2.02,"0.00343","0.91458"
"151","GO:0046716","muscle cell cellular homeostasis",81,11,4.3,"0.00352","0.41614"
"152","GO:0045938","positive regulation of circadian sleep/w...",29,6,1.54,"0.00363","0.59548"
"153","GO:0055075","potassium ion homeostasis",23,8,1.22,"0.00373","0.84091"
"154","GO:0060581","cell fate commitment involved in pattern...",28,6,1.49,"0.00379","0.99747"
"155","GO:0045989","positive regulation of striated muscle c...",13,4,0.69,"0.00383","0.97880"
"156","GO:1903416","response to glycoside",13,4,0.69,"0.00383","0.97880"
"157","GO:1990535","neuron projection maintenance",13,4,0.69,"0.00383","0.48269"
"158","GO:0051151","negative regulation of smooth muscle cel...",13,4,0.69,"0.00383","0.33393"
"159","GO:0043267","negative regulation of potassium ion tra...",34,5,1.81,"0.00383","0.57678"
"160","GO:0008542","visual learning",60,9,3.19,"0.00410","0.66204"
"161","GO:0001702","gastrulation with mouth forming second",31,6,1.65,"0.00413","0.88989"
"162","GO:0021516","dorsal spinal cord development",21,5,1.12,"0.00415","0.99592"
"163","GO:0023057","negative regulation of signaling",1070,64,56.83,"0.00430","0.89308"
"164","GO:0006509","membrane protein ectodomain proteolysis",45,7,2.39,"0.00433","0.99911"
"165","GO:0009996","negative regulation of cell fate specifi...",30,6,1.59,"0.00434","0.89713"
"166","GO:0060562","epithelial tube morphogenesis",619,52,32.88,"0.00438","0.91335"
"167","GO:0032507","maintenance of protein location in cell",85,9,4.51,"0.00452","0.96145"
"168","GO:0007560","imaginal disc morphogenesis",282,29,14.98,"0.00473","0.68038"
"169","GO:0071679","commissural neuron axon guidance",22,5,1.17,"0.00513","0.25077"
"170","GO:0098914","membrane repolarization during atrial ca...",14,4,0.74,"0.00513","0.41072"
"171","GO:0002121","inter-male aggressive behavior",14,4,0.74,"0.00513","0.76583"
"172","GO:0021871","forebrain regionalization",14,4,0.74,"0.00513","0.82238"
"173","GO:2000134","negative regulation of G1/S transition o...",65,6,3.45,"0.00519","0.76232"
"174","GO:0048675","axon extension",173,26,9.19,"0.00532","0.90529"
"175","GO:0045860","positive regulation of protein kinase ac...",383,19,20.34,"0.00545","0.96847"
"176","GO:0070588","calcium ion transmembrane transport",208,23,11.05,"0.00553","0.99543"
"177","GO:0007405","neuroblast proliferation",128,12,6.8,"0.00600","0.17563"
"178","GO:0055093","response to hyperoxia",42,7,2.23,"0.00610","0.54126"
"179","GO:0021536","diencephalon development",74,13,3.93,"0.00643","0.95433"
"180","GO:0051480","regulation of cytosolic calcium ion conc...",165,17,8.76,"0.00657","0.37148"
"181","GO:0006691","leukotriene metabolic process",15,4,0.8,"0.00671","0.67297"
"182","GO:0055119","relaxation of cardiac muscle",15,4,0.8,"0.00671","0.93943"
"183","GO:0015811","L-cystine transport",15,4,0.8,"0.00671","0.68736"
"184","GO:0015801","aromatic amino acid transport",15,4,0.8,"0.00671","0.99127"
"185","GO:0048262","determination of dorsal/ventral asymmetr...",29,5,1.54,"0.00679","0.82697"
"186","GO:0006885","regulation of pH",65,6,3.45,"0.00682","0.99748"
"187","GO:0097366","response to bronchodilator",43,7,2.28,"0.00696","0.21280"
"188","GO:0060563","neuroepithelial cell differentiation",65,9,3.45,"0.00702","0.99144"
"189","GO:0019226","transmission of nerve impulse",69,16,3.66,"0.00704","0.30862"
"190","GO:0034453","microtubule anchoring",24,5,1.27,"0.00759","0.98117"
"191","GO:0032720","negative regulation of tumor necrosis fa...",24,5,1.27,"0.00759","0.99159"
"192","GO:0071277","cellular response to calcium ion",44,7,2.34,"0.00791","0.32817"
"193","GO:0016333","morphogenesis of follicular epithelium",57,12,3.03,"0.00791","0.99934"
"194","GO:0086014","atrial cardiac muscle cell action potent...",17,6,0.9,"0.00804","0.99950"
"195","GO:0061548","ganglion development",13,3,0.69,"0.00813","0.91132"
"196","GO:0006665","sphingolipid metabolic process",104,5,5.52,"0.00823","0.99999"
"197","GO:0097068","response to thyroxine",16,4,0.85,"0.00858","0.52472"
"198","GO:0006750","glutathione biosynthetic process",16,4,0.85,"0.00858","0.68766"
"199","GO:0021984","adenohypophysis development",16,4,0.85,"0.00858","0.40389"
"200","GO:0010629","negative regulation of gene expression",1479,75,78.55,"0.00870","0.55686"
"201","GO:2001259","positive regulation of cation channel ac...",38,10,2.02,"0.00876","0.77349"
"202","GO:0060445","branching involved in salivary gland mor...",25,5,1.33,"0.00909","0.45757"
"203","GO:0048511","rhythmic process",262,29,13.91,"0.00912","0.72346"
"204","GO:0008015","blood circulation",332,39,17.63,"0.00936","0.81154"
"205","GO:0007613","memory",209,26,11.1,"0.00947","0.32887"
"206","GO:0010882","regulation of cardiac muscle contraction...",20,7,1.06,"0.00964","0.83136"
"207","GO:0050805","negative regulation of synaptic transmis...",77,12,4.09,"0.00973","0.19933"
"208","GO:0009953","dorsal/ventral pattern formation",190,16,10.09,"0.00994","0.95505"
"209","GO:0086002","cardiac muscle cell action potential inv...",34,10,1.81,"0.01037","0.94139"
"210","GO:0044550","secondary metabolite biosynthetic proces...",35,9,1.86,"0.01045","0.56097"
"211","GO:0051965","positive regulation of synapse assembly",69,10,3.66,"0.01052","0.79996"
"212","GO:0071383","cellular response to steroid hormone sti...",176,15,9.35,"0.01056","0.97202"
"213","GO:0045454","cell redox homeostasis",17,4,0.9,"0.01076","0.86133"
"214","GO:0035158","regulation of tube diameter, open trache...",17,4,0.9,"0.01076","0.75846"
"215","GO:0048570","notochord morphogenesis",17,4,0.9,"0.01076","0.80221"
"216","GO:0022011","myelination in peripheral nervous system",26,5,1.38,"0.01077","0.99554"
"217","GO:0021953","central nervous system neuron differenti...",119,9,6.32,"0.01079","0.73442"
"218","GO:0043409","negative regulation of MAPK cascade",144,9,7.65,"0.01098","0.93194"
"219","GO:0007498","mesoderm development",168,20,8.92,"0.01180","0.20582"
"220","GO:0043113","receptor clustering",48,7,2.55,"0.01237","0.96075"
"221","GO:0010522","regulation of calcium ion transport into...",61,9,3.24,"0.01242","0.58211"
"222","GO:0007631","feeding behavior",169,20,8.98,"0.01318","0.71302"
"223","GO:0050673","epithelial cell proliferation",211,15,11.21,"0.01319","0.94558"
"224","GO:0016486","peptide hormone processing",18,4,0.96,"0.01326","0.43218"
"225","GO:0048857","neural nucleus development",18,4,0.96,"0.01326","0.12538"
"226","GO:0051967","negative regulation of synaptic transmis...",10,3,0.53,"0.01350","0.99164"
"227","GO:0050893","sensory processing",10,3,0.53,"0.01350","0.70264"
"228","GO:0042321","negative regulation of circadian sleep/w...",10,3,0.53,"0.01350","0.99892"
"229","GO:0071462","cellular response to water stimulus",10,3,0.53,"0.01350","0.20560"
"230","GO:0008228","opsonization",10,3,0.53,"0.01350","0.82384"
"231","GO:0046880","regulation of follicle-stimulating hormo...",10,3,0.53,"0.01350","0.77437"
"232","GO:0016340","calcium-dependent cell-matrix adhesion",38,6,2.02,"0.01411","0.89908"
"233","GO:0035159","regulation of tube length, open tracheal...",49,7,2.6,"0.01413","0.30887"
"234","GO:0090102","cochlea development",51,6,2.71,"0.01478","0.99678"
"235","GO:0048513","animal organ development",2719,189,144.41,"0.01478","0.95356"
"236","GO:0050905","neuromuscular process",142,22,7.54,"0.01484","0.70938"
"237","GO:0001504","neurotransmitter uptake",22,7,1.17,"0.01547","0.71408"
"238","GO:0021544","subpallium development",17,4,0.9,"0.01564","0.97954"
"239","GO:0006809","nitric oxide biosynthetic process",38,5,2.02,"0.01565","0.98905"
"240","GO:0001954","positive regulation of cell-matrix adhes...",39,6,2.07,"0.01595","0.99929"
"241","GO:0002026","regulation of the force of heart contrac...",39,6,2.07,"0.01595","0.54354"
"242","GO:0048844","artery morphogenesis",53,6,2.81,"0.01609","0.31403"
"243","GO:0006820","monoatomic anion transport",391,49,20.77,"0.01609","0.52873"
"244","GO:0060384","innervation",19,4,1.01,"0.01611","0.99783"
"245","GO:0010248","establishment or maintenance of transmem...",19,4,1.01,"0.01611","0.96914"
"246","GO:1902931","negative regulation of alcohol biosynthe...",19,4,1.01,"0.01611","0.88110"
"247","GO:1901021","positive regulation of calcium ion trans...",19,4,1.01,"0.01611","0.84004"
"248","GO:0048866","stem cell fate specification",19,4,1.01,"0.01611","0.99376"
"249","GO:0015701","bicarbonate transport",19,4,1.01,"0.01611","0.99991"
"250","GO:0044344","cellular response to fibroblast growth f...",101,8,5.36,"0.01615","0.71640"
"251","GO:0050794","regulation of cellular process",5826,316,309.42,"0.01661","0.99832"
"252","GO:0048812","neuron projection morphogenesis",759,72,40.31,"0.01684","0.98930"
"253","GO:0022008","neurogenesis",1553,120,82.48,"0.01697","0.62531"
"254","GO:0002673","regulation of acute inflammatory respons...",29,5,1.54,"0.01707","0.99678"
"255","GO:0030198","extracellular matrix organization",256,29,13.6,"0.01730","0.49025"
"256","GO:0040019","positive regulation of embryonic develop...",86,8,4.57,"0.01755","0.32352"
"257","GO:0046888","negative regulation of hormone secretion",47,7,2.5,"0.01764","0.93786"
"258","GO:0015669","gas transport",11,3,0.58,"0.01784","0.97023"
"259","GO:0002031","G protein-coupled receptor internalizati...",11,3,0.58,"0.01784","0.91909"
"260","GO:0030656","regulation of vitamin metabolic process",11,3,0.58,"0.01784","0.96430"
"261","GO:0008343","adult feeding behavior",11,3,0.58,"0.01784","0.86952"
"262","GO:0071468","cellular response to acidic pH",11,3,0.58,"0.01784","0.85963"
"263","GO:0001826","inner cell mass cell differentiation",11,3,0.58,"0.01784","0.97378"
"264","GO:0006700","C21-steroid hormone biosynthetic process",11,3,0.58,"0.01784","0.09893"
"265","GO:0015858","nucleoside transport",11,3,0.58,"0.01784","0.99081"
"266","GO:0061844","antimicrobial humoral immune response me...",39,4,2.07,"0.01789","0.91841"
"267","GO:0001654","eye development",569,39,30.22,"0.01849","0.99551"
"268","GO:0051932","synaptic transmission, GABAergic",58,11,3.08,"0.01866","0.91827"
"269","GO:0140115","export across plasma membrane",35,9,1.86,"0.01876","0.94771"
"270","GO:0098754","detoxification",79,8,4.2,"0.01919","0.39001"
"271","GO:0045475","locomotor rhythm",52,7,2.76,"0.01922","0.90949"
"272","GO:0018991","egg-laying behavior",136,12,7.22,"0.01930","0.10832"
"273","GO:1903959","regulation of monoatomic anion transmemb...",20,4,1.06,"0.01931","0.96501"
"274","GO:0015988","energy coupled proton transmembrane tran...",20,4,1.06,"0.01931","0.75434"
"275","GO:0018149","peptide cross-linking",20,4,1.06,"0.01931","0.50335"
"276","GO:0006027","glycosaminoglycan catabolic process",30,5,1.59,"0.01961","0.96724"
"277","GO:0042391","regulation of membrane potential",290,38,15.4,"0.01986","0.80156"
"278","GO:0006936","muscle contraction",225,30,11.95,"0.02055","0.64946"
"279","GO:0021766","hippocampus development",77,10,4.09,"0.02074","0.64889"
"280","GO:0007416","synapse assembly",246,27,13.07,"0.02099","0.24675"
"281","GO:0019722","calcium-mediated signaling",131,18,6.96,"0.02166","0.90931"
"282","GO:0001700","embryonic development via the syncytial ...",179,15,9.51,"0.02209","0.07907"
"283","GO:0048729","tissue morphogenesis",910,80,48.33,"0.02210","0.98904"
"284","GO:0060441","epithelial tube branching involved in lu...",41,7,2.18,"0.02213","0.79147"
"285","GO:0060004","reflex",26,9,1.38,"0.02222","0.28405"
"286","GO:0002526","acute inflammatory response",67,10,3.56,"0.02236","0.94999"
"287","GO:0071467","cellular response to pH",23,6,1.22,"0.02257","0.64358"
"288","GO:0030449","regulation of complement activation",12,3,0.64,"0.02287","0.88170"
"289","GO:0043090","amino acid import",12,3,0.64,"0.02287","0.99999"
"290","GO:0033333","fin development",12,3,0.64,"0.02287","0.99060"
"291","GO:0061052","negative regulation of cell growth invol...",12,3,0.64,"0.02287","0.67085"
"292","GO:0060536","cartilage morphogenesis",12,3,0.64,"0.02287","0.77394"
"293","GO:0072378","blood coagulation, fibrin clot formation",12,3,0.64,"0.02287","0.98577"
"294","GO:0042759","long-chain fatty acid biosynthetic proce...",12,3,0.64,"0.02287","0.76294"
"295","GO:0007340","acrosome reaction",12,3,0.64,"0.02287","0.85256"
"296","GO:0043520","regulation of myosin II filament assembl...",12,3,0.64,"0.02287","0.53603"
"297","GO:0007400","neuroblast fate determination",12,3,0.64,"0.02287","0.93934"
"298","GO:0071732","cellular response to nitric oxide",12,3,0.64,"0.02287","0.87730"
"299","GO:0019369","arachidonic acid metabolic process",12,3,0.64,"0.02287","0.95776"
"300","GO:0060065","uterus development",12,3,0.64,"0.02287","0.53422"
"301","GO:0009414","response to water deprivation",12,3,0.64,"0.02287","0.32867"
"302","GO:0051281","positive regulation of release of seques...",21,4,1.12,"0.02288","0.89533"
"303","GO:0002695","negative regulation of leukocyte activat...",77,4,4.09,"0.02318","0.71460"
"304","GO:0072175","epithelial tube formation",152,4,8.07,"0.02369","0.26460"
"305","GO:0007160","cell-matrix adhesion",160,16,8.5,"0.02411","0.99047"
"306","GO:0048512","circadian behavior",119,19,6.32,"0.02421","0.90896"
"307","GO:0009653","anatomical structure morphogenesis",2410,170,127.99,"0.02464","0.45861"
"308","GO:0002011","morphogenesis of an epithelial sheet",74,9,3.93,"0.02466","0.99628"
"309","GO:0071230","cellular response to amino acid stimulus",59,8,3.13,"0.02470","0.80020"
"310","GO:0071300","cellular response to retinoic acid",43,6,2.28,"0.02496","0.25322"
"311","GO:0097154","GABAergic neuron differentiation",18,5,0.96,"0.02506","0.99913"
"312","GO:0035113","embryonic appendage morphogenesis",122,10,6.48,"0.02511","0.99624"
"313","GO:0032965","regulation of collagen biosynthetic proc...",18,3,0.96,"0.02526","0.94420"
"314","GO:0007538","primary sex determination",18,3,0.96,"0.02526","0.48836"
"315","GO:0048793","pronephros development",32,5,1.7,"0.02542","0.95383"
"316","GO:0050728","negative regulation of inflammatory resp...",55,7,2.92,"0.02546","0.69059"
"317","GO:0051603","proteolysis involved in protein cataboli...",580,16,30.8,"0.02600","0.18126"
"318","GO:0055085","transmembrane transport",929,103,49.34,"0.02633","0.81510"
"319","GO:0030048","actin filament-based movement",123,22,6.53,"0.02658","0.99706"
"320","GO:1900273","positive regulation of long-term synapti...",22,4,1.17,"0.02682","0.15028"
"321","GO:0048545","response to steroid hormone",299,23,15.88,"0.02780","0.65799"
"322","GO:0043268","positive regulation of potassium ion tra...",34,8,1.81,"0.02799","0.99859"
"323","GO:0048167","regulation of synaptic plasticity",140,13,7.44,"0.02817","0.77499"
"324","GO:0060361","flight",13,3,0.69,"0.02858","0.35461"
"325","GO:0043056","forward locomotion",13,3,0.69,"0.02858","0.91224"
"326","GO:0010715","regulation of extracellular matrix disas...",13,3,0.69,"0.02858","0.41131"
"327","GO:0032769","negative regulation of monooxygenase act...",13,3,0.69,"0.02858","0.93794"
"328","GO:0071420","cellular response to histamine",13,3,0.69,"0.02858","0.17656"
"329","GO:0021535","cell migration in hindbrain",13,3,0.69,"0.02858","0.80734"
"330","GO:0031505","fungal-type cell wall organization",13,3,0.69,"0.02858","0.64997"
"331","GO:0048800","antennal morphogenesis",13,3,0.69,"0.02858","0.73280"
