"","GO.ID","Term","Annotated","Significant","Expected","classic"
"80","GO:0043058","regulation of backward locomotion",14,5,0.74,"0.00056"
"81","GO:0098810","neurotransmitter reuptake",14,5,0.74,"0.00056"
"82","GO:0007365","periodic partitioning",30,7,1.59,"0.00056"
"83","GO:0021517","ventral spinal cord development",26,4,1.38,"0.00057"
"84","GO:0010811","positive regulation of cell-substrate ad...",77,12,4.09,"0.00058"
"85","GO:0070207","protein homotrimerization",37,8,1.97,"0.00059"
"86","GO:1901020","negative regulation of calcium ion trans...",21,6,1.12,"0.00060"
"87","GO:0051124","synaptic assembly at neuromuscular junct...",144,14,7.65,"0.00063"
"88","GO:0007618","mating",133,17,7.06,"0.00065"
"89","GO:0009914","hormone transport",217,21,11.52,"0.00076"
"90","GO:0086013","membrane repolarization during cardiac m...",29,9,1.54,"0.00077"
"91","GO:0036376","sodium ion export across plasma membrane",15,5,0.8,"0.00080"
"92","GO:0031643","positive regulation of myelination",15,5,0.8,"0.00080"
"93","GO:0019991","septate junction assembly",30,7,1.59,"0.00080"
"94","GO:0021515","cell differentiation in spinal cord",31,5,1.65,"0.00080"
"95","GO:0019048","modulation by virus of host process",45,6,2.39,"0.00080"
"96","GO:0098656","monoatomic anion transmembrane transport",240,32,12.75,"0.00089"
"97","GO:0045822","negative regulation of heart contraction",23,6,1.22,"0.00101"
"98","GO:1902475","L-alpha-amino acid transmembrane transpo...",57,14,3.03,"0.00113"
"99","GO:0035150","regulation of tube size",167,24,8.87,"0.00116"
"100","GO:0007293","germarium-derived egg chamber formation",111,19,5.9,"0.00117"
"101","GO:0086064","cell communication by electrical couplin...",10,4,0.53,"0.00128"
"102","GO:0086050","membrane repolarization during bundle of...",10,4,0.53,"0.00128"
"103","GO:0086052","membrane repolarization during SA node c...",10,4,0.53,"0.00128"
"104","GO:0021633","optic nerve structural organization",10,4,0.53,"0.00128"
"105","GO:0030007","intracellular potassium ion homeostasis",10,4,0.53,"0.00128"
"106","GO:0060075","regulation of resting membrane potential",10,4,0.53,"0.00128"
"107","GO:0050953","sensory perception of light stimulus",123,21,6.53,"0.00128"
"108","GO:0035262","gonad morphogenesis",51,9,2.71,"0.00129"
"109","GO:0021510","spinal cord development",89,15,4.73,"0.00137"
"110","GO:0010717","regulation of epithelial to mesenchymal ...",57,9,3.03,"0.00148"
"111","GO:1903798","regulation of miRNA processing",17,5,0.9,"0.00150"
"112","GO:0071242","cellular response to ammonium ion",87,14,4.62,"0.00157"
"113","GO:1902476","chloride transmembrane transport",43,8,2.28,"0.00167"
"114","GO:0016203","muscle attachment",43,8,2.28,"0.00167"
"115","GO:0045197","establishment or maintenance of epitheli...",86,11,4.57,"0.00173"
"116","GO:0001946","lymphangiogenesis",11,4,0.58,"0.00192"
"117","GO:0010881","regulation of cardiac muscle contraction...",11,4,0.58,"0.00192"
"118","GO:0010958","regulation of amino acid import across p...",11,4,0.58,"0.00192"
"119","GO:0086036","regulation of cardiac muscle cell membra...",18,5,0.96,"0.00199"
"120","GO:0007295","growth of a germarium-derived egg chambe...",18,5,0.96,"0.00199"
"121","GO:0051580","regulation of neurotransmitter uptake",18,5,0.96,"0.00199"
"122","GO:0006727","ommochrome biosynthetic process",18,5,0.96,"0.00199"
"123","GO:0001707","mesoderm formation",109,12,5.79,"0.00207"
"124","GO:0002532","production of molecular mediator involve...",35,7,1.86,"0.00209"
"125","GO:0014059","regulation of dopamine secretion",35,7,1.86,"0.00209"
"126","GO:0030010","establishment of cell polarity",192,13,10.2,"0.00255"
"127","GO:0048047","mating behavior, sex discrimination",19,5,1.01,"0.00259"
"128","GO:0086004","regulation of cardiac muscle cell contra...",19,5,1.01,"0.00259"
"129","GO:0048266","behavioral response to pain",19,5,1.01,"0.00259"
"130","GO:0071294","cellular response to zinc ion",19,5,1.01,"0.00259"
"131","GO:0048703","embryonic viscerocranium morphogenesis",19,5,1.01,"0.00259"
"132","GO:2000650","negative regulation of sodium ion transm...",19,5,1.01,"0.00259"
"133","GO:0010960","magnesium ion homeostasis",41,6,2.18,"0.00259"
"134","GO:0046456","icosanoid biosynthetic process",25,4,1.33,"0.00264"
"135","GO:0001764","neuron migration",149,18,7.91,"0.00266"
"136","GO:0008306","associative learning",151,22,8.02,"0.00269"
"137","GO:0014047","glutamate secretion",34,8,1.81,"0.00271"
"138","GO:0060372","regulation of atrial cardiac muscle cell...",12,4,0.64,"0.00276"
"139","GO:0035002","liquid clearance, open tracheal system",12,4,0.64,"0.00276"
"140","GO:0006883","intracellular sodium ion homeostasis",12,4,0.64,"0.00276"
"141","GO:0003171","atrioventricular valve development",17,5,0.9,"0.00279"
"142","GO:0008363","larval chitin-based cuticle development",22,5,1.17,"0.00279"
"143","GO:0048813","dendrite morphogenesis",228,17,12.11,"0.00293"
"144","GO:0010470","regulation of gastrulation",93,11,4.94,"0.00299"
"145","GO:0040011","locomotion",1500,129,79.66,"0.00301"
"146","GO:0045838","positive regulation of membrane potentia...",28,6,1.49,"0.00301"
"147","GO:0048841","regulation of axon extension involved in...",32,6,1.7,"0.00329"
"148","GO:0016331","morphogenesis of embryonic epithelium",287,19,15.24,"0.00334"
"149","GO:0007314","oocyte anterior/posterior axis specifica...",85,6,4.51,"0.00337"
"150","GO:0032228","regulation of synaptic transmission, GAB...",38,7,2.02,"0.00343"
"151","GO:0046716","muscle cell cellular homeostasis",81,11,4.3,"0.00352"
"152","GO:0045938","positive regulation of circadian sleep/w...",29,6,1.54,"0.00363"
"153","GO:0055075","potassium ion homeostasis",23,8,1.22,"0.00373"
"154","GO:0060581","cell fate commitment involved in pattern...",28,6,1.49,"0.00379"
"155","GO:0045989","positive regulation of striated muscle c...",13,4,0.69,"0.00383"
"156","GO:1903416","response to glycoside",13,4,0.69,"0.00383"
"157","GO:1990535","neuron projection maintenance",13,4,0.69,"0.00383"
"158","GO:0051151","negative regulation of smooth muscle cel...",13,4,0.69,"0.00383"
"159","GO:0043267","negative regulation of potassium ion tra...",34,5,1.81,"0.00383"
"160","GO:0008542","visual learning",60,9,3.19,"0.00410"
"161","GO:0001702","gastrulation with mouth forming second",31,6,1.65,"0.00413"
"162","GO:0021516","dorsal spinal cord development",21,5,1.12,"0.00415"
"163","GO:0023057","negative regulation of signaling",1070,64,56.83,"0.00430"
"164","GO:0006509","membrane protein ectodomain proteolysis",45,7,2.39,"0.00433"
"165","GO:0009996","negative regulation of cell fate specifi...",30,6,1.59,"0.00434"
"166","GO:0060562","epithelial tube morphogenesis",619,52,32.88,"0.00438"
"167","GO:0032507","maintenance of protein location in cell",85,9,4.51,"0.00452"
"168","GO:0007560","imaginal disc morphogenesis",282,29,14.98,"0.00473"
"169","GO:0071679","commissural neuron axon guidance",22,5,1.17,"0.00513"
"170","GO:0098914","membrane repolarization during atrial ca...",14,4,0.74,"0.00513"
"171","GO:0002121","inter-male aggressive behavior",14,4,0.74,"0.00513"
"172","GO:0021871","forebrain regionalization",14,4,0.74,"0.00513"
"173","GO:2000134","negative regulation of G1/S transition o...",65,6,3.45,"0.00519"
"174","GO:0048675","axon extension",173,26,9.19,"0.00532"
"175","GO:0045860","positive regulation of protein kinase ac...",383,19,20.34,"0.00545"
"176","GO:0070588","calcium ion transmembrane transport",208,23,11.05,"0.00553"
"177","GO:0007405","neuroblast proliferation",128,12,6.8,"0.00600"
"178","GO:0055093","response to hyperoxia",42,7,2.23,"0.00610"
"179","GO:0021536","diencephalon development",74,13,3.93,"0.00643"
"180","GO:0051480","regulation of cytosolic calcium ion conc...",165,17,8.76,"0.00657"
"181","GO:0006691","leukotriene metabolic process",15,4,0.8,"0.00671"
"182","GO:0055119","relaxation of cardiac muscle",15,4,0.8,"0.00671"
"183","GO:0015811","L-cystine transport",15,4,0.8,"0.00671"
"184","GO:0015801","aromatic amino acid transport",15,4,0.8,"0.00671"
"185","GO:0048262","determination of dorsal/ventral asymmetr...",29,5,1.54,"0.00679"
"186","GO:0006885","regulation of pH",65,6,3.45,"0.00682"
"187","GO:0097366","response to bronchodilator",43,7,2.28,"0.00696"
"188","GO:0060563","neuroepithelial cell differentiation",65,9,3.45,"0.00702"
"189","GO:0019226","transmission of nerve impulse",69,16,3.66,"0.00704"
"190","GO:0034453","microtubule anchoring",24,5,1.27,"0.00759"
"191","GO:0032720","negative regulation of tumor necrosis fa...",24,5,1.27,"0.00759"
"192","GO:0071277","cellular response to calcium ion",44,7,2.34,"0.00791"
"193","GO:0016333","morphogenesis of follicular epithelium",57,12,3.03,"0.00791"
"194","GO:0086014","atrial cardiac muscle cell action potent...",17,6,0.9,"0.00804"
"195","GO:0061548","ganglion development",13,3,0.69,"0.00813"
"196","GO:0006665","sphingolipid metabolic process",104,5,5.52,"0.00823"
"197","GO:0097068","response to thyroxine",16,4,0.85,"0.00858"
"198","GO:0006750","glutathione biosynthetic process",16,4,0.85,"0.00858"
"199","GO:0021984","adenohypophysis development",16,4,0.85,"0.00858"
"200","GO:0010629","negative regulation of gene expression",1479,75,78.55,"0.00870"
"201","GO:2001259","positive regulation of cation channel ac...",38,10,2.02,"0.00876"
"202","GO:0060445","branching involved in salivary gland mor...",25,5,1.33,"0.00909"
"203","GO:0048511","rhythmic process",262,29,13.91,"0.00912"
"204","GO:0008015","blood circulation",332,39,17.63,"0.00936"
"205","GO:0007613","memory",209,26,11.1,"0.00947"
"206","GO:0010882","regulation of cardiac muscle contraction...",20,7,1.06,"0.00964"
"207","GO:0050805","negative regulation of synaptic transmis...",77,12,4.09,"0.00973"
"208","GO:0009953","dorsal/ventral pattern formation",190,16,10.09,"0.00994"
"209","GO:0086002","cardiac muscle cell action potential inv...",34,10,1.81,"0.01037"
"210","GO:0044550","secondary metabolite biosynthetic proces...",35,9,1.86,"0.01045"
"211","GO:0051965","positive regulation of synapse assembly",69,10,3.66,"0.01052"
"212","GO:0071383","cellular response to steroid hormone sti...",176,15,9.35,"0.01056"
"213","GO:0045454","cell redox homeostasis",17,4,0.9,"0.01076"
"214","GO:0035158","regulation of tube diameter, open trache...",17,4,0.9,"0.01076"
"215","GO:0048570","notochord morphogenesis",17,4,0.9,"0.01076"
"216","GO:0022011","myelination in peripheral nervous system",26,5,1.38,"0.01077"
"217","GO:0021953","central nervous system neuron differenti...",119,9,6.32,"0.01079"
"218","GO:0043409","negative regulation of MAPK cascade",144,9,7.65,"0.01098"
"219","GO:0007498","mesoderm development",168,20,8.92,"0.01180"
"220","GO:0043113","receptor clustering",48,7,2.55,"0.01237"
"221","GO:0010522","regulation of calcium ion transport into...",61,9,3.24,"0.01242"
"222","GO:0007631","feeding behavior",169,20,8.98,"0.01318"
"223","GO:0050673","epithelial cell proliferation",211,15,11.21,"0.01319"
"224","GO:0016486","peptide hormone processing",18,4,0.96,"0.01326"
"225","GO:0048857","neural nucleus development",18,4,0.96,"0.01326"
"226","GO:0051967","negative regulation of synaptic transmis...",10,3,0.53,"0.01350"
"227","GO:0050893","sensory processing",10,3,0.53,"0.01350"
"228","GO:0042321","negative regulation of circadian sleep/w...",10,3,0.53,"0.01350"
"229","GO:0071462","cellular response to water stimulus",10,3,0.53,"0.01350"
"230","GO:0008228","opsonization",10,3,0.53,"0.01350"
"231","GO:0046880","regulation of follicle-stimulating hormo...",10,3,0.53,"0.01350"
"232","GO:0016340","calcium-dependent cell-matrix adhesion",38,6,2.02,"0.01411"
"233","GO:0035159","regulation of tube length, open tracheal...",49,7,2.6,"0.01413"
"234","GO:0090102","cochlea development",51,6,2.71,"0.01478"
"235","GO:0048513","animal organ development",2719,189,144.41,"0.01478"
"236","GO:0050905","neuromuscular process",142,22,7.54,"0.01484"
"237","GO:0001504","neurotransmitter uptake",22,7,1.17,"0.01547"
"238","GO:0021544","subpallium development",17,4,0.9,"0.01564"
"239","GO:0006809","nitric oxide biosynthetic process",38,5,2.02,"0.01565"
"240","GO:0001954","positive regulation of cell-matrix adhes...",39,6,2.07,"0.01595"
"241","GO:0002026","regulation of the force of heart contrac...",39,6,2.07,"0.01595"
"242","GO:0048844","artery morphogenesis",53,6,2.81,"0.01609"
"243","GO:0006820","monoatomic anion transport",391,49,20.77,"0.01609"
"244","GO:0060384","innervation",19,4,1.01,"0.01611"
"245","GO:0010248","establishment or maintenance of transmem...",19,4,1.01,"0.01611"
"246","GO:1902931","negative regulation of alcohol biosynthe...",19,4,1.01,"0.01611"
"247","GO:1901021","positive regulation of calcium ion trans...",19,4,1.01,"0.01611"
"248","GO:0048866","stem cell fate specification",19,4,1.01,"0.01611"
"249","GO:0015701","bicarbonate transport",19,4,1.01,"0.01611"
"250","GO:0044344","cellular response to fibroblast growth f...",101,8,5.36,"0.01615"
"251","GO:0050794","regulation of cellular process",5826,316,309.42,"0.01661"
"252","GO:0048812","neuron projection morphogenesis",759,72,40.31,"0.01684"
"253","GO:0022008","neurogenesis",1553,120,82.48,"0.01697"
"254","GO:0002673","regulation of acute inflammatory respons...",29,5,1.54,"0.01707"
"255","GO:0030198","extracellular matrix organization",256,29,13.6,"0.01730"
"256","GO:0040019","positive regulation of embryonic develop...",86,8,4.57,"0.01755"
"257","GO:0046888","negative regulation of hormone secretion",47,7,2.5,"0.01764"
"258","GO:0015669","gas transport",11,3,0.58,"0.01784"
"259","GO:0002031","G protein-coupled receptor internalizati...",11,3,0.58,"0.01784"
"260","GO:0030656","regulation of vitamin metabolic process",11,3,0.58,"0.01784"
"261","GO:0008343","adult feeding behavior",11,3,0.58,"0.01784"
"262","GO:0071468","cellular response to acidic pH",11,3,0.58,"0.01784"
"263","GO:0001826","inner cell mass cell differentiation",11,3,0.58,"0.01784"
"264","GO:0006700","C21-steroid hormone biosynthetic process",11,3,0.58,"0.01784"
"265","GO:0015858","nucleoside transport",11,3,0.58,"0.01784"
"266","GO:0061844","antimicrobial humoral immune response me...",39,4,2.07,"0.01789"
"267","GO:0001654","eye development",569,39,30.22,"0.01849"
"268","GO:0051932","synaptic transmission, GABAergic",58,11,3.08,"0.01866"
"269","GO:0140115","export across plasma membrane",35,9,1.86,"0.01876"
"270","GO:0098754","detoxification",79,8,4.2,"0.01919"
"271","GO:0045475","locomotor rhythm",52,7,2.76,"0.01922"
"272","GO:0018991","egg-laying behavior",136,12,7.22,"0.01930"
"273","GO:1903959","regulation of monoatomic anion transmemb...",20,4,1.06,"0.01931"
"274","GO:0015988","energy coupled proton transmembrane tran...",20,4,1.06,"0.01931"
"275","GO:0018149","peptide cross-linking",20,4,1.06,"0.01931"
"276","GO:0006027","glycosaminoglycan catabolic process",30,5,1.59,"0.01961"
"277","GO:0042391","regulation of membrane potential",290,38,15.4,"0.01986"
"278","GO:0006936","muscle contraction",225,30,11.95,"0.02055"
"279","GO:0021766","hippocampus development",77,10,4.09,"0.02074"
"280","GO:0007416","synapse assembly",246,27,13.07,"0.02099"
"281","GO:0019722","calcium-mediated signaling",131,18,6.96,"0.02166"
"282","GO:0001700","embryonic development via the syncytial ...",179,15,9.51,"0.02209"
"283","GO:0048729","tissue morphogenesis",910,80,48.33,"0.02210"
"284","GO:0060441","epithelial tube branching involved in lu...",41,7,2.18,"0.02213"
"285","GO:0060004","reflex",26,9,1.38,"0.02222"
"286","GO:0002526","acute inflammatory response",67,10,3.56,"0.02236"
"287","GO:0071467","cellular response to pH",23,6,1.22,"0.02257"
"288","GO:0030449","regulation of complement activation",12,3,0.64,"0.02287"
"289","GO:0043090","amino acid import",12,3,0.64,"0.02287"
"290","GO:0033333","fin development",12,3,0.64,"0.02287"
"291","GO:0061052","negative regulation of cell growth invol...",12,3,0.64,"0.02287"
"292","GO:0060536","cartilage morphogenesis",12,3,0.64,"0.02287"
"293","GO:0072378","blood coagulation, fibrin clot formation",12,3,0.64,"0.02287"
"294","GO:0042759","long-chain fatty acid biosynthetic proce...",12,3,0.64,"0.02287"
"295","GO:0007340","acrosome reaction",12,3,0.64,"0.02287"
"296","GO:0043520","regulation of myosin II filament assembl...",12,3,0.64,"0.02287"
"297","GO:0007400","neuroblast fate determination",12,3,0.64,"0.02287"
"298","GO:0071732","cellular response to nitric oxide",12,3,0.64,"0.02287"
"299","GO:0019369","arachidonic acid metabolic process",12,3,0.64,"0.02287"
"300","GO:0060065","uterus development",12,3,0.64,"0.02287"
"301","GO:0009414","response to water deprivation",12,3,0.64,"0.02287"
"302","GO:0051281","positive regulation of release of seques...",21,4,1.12,"0.02288"
"303","GO:0002695","negative regulation of leukocyte activat...",77,4,4.09,"0.02318"
"304","GO:0072175","epithelial tube formation",152,4,8.07,"0.02369"
"305","GO:0007160","cell-matrix adhesion",160,16,8.5,"0.02411"
"306","GO:0048512","circadian behavior",119,19,6.32,"0.02421"
"307","GO:0009653","anatomical structure morphogenesis",2410,170,127.99,"0.02464"
"308","GO:0002011","morphogenesis of an epithelial sheet",74,9,3.93,"0.02466"
"309","GO:0071230","cellular response to amino acid stimulus",59,8,3.13,"0.02470"
"310","GO:0071300","cellular response to retinoic acid",43,6,2.28,"0.02496"
"311","GO:0097154","GABAergic neuron differentiation",18,5,0.96,"0.02506"
"312","GO:0035113","embryonic appendage morphogenesis",122,10,6.48,"0.02511"
"313","GO:0032965","regulation of collagen biosynthetic proc...",18,3,0.96,"0.02526"
"314","GO:0007538","primary sex determination",18,3,0.96,"0.02526"
"315","GO:0048793","pronephros development",32,5,1.7,"0.02542"
"316","GO:0050728","negative regulation of inflammatory resp...",55,7,2.92,"0.02546"
"317","GO:0051603","proteolysis involved in protein cataboli...",580,16,30.8,"0.02600"
"318","GO:0055085","transmembrane transport",929,103,49.34,"0.02633"
"319","GO:0030048","actin filament-based movement",123,22,6.53,"0.02658"
"320","GO:1900273","positive regulation of long-term synapti...",22,4,1.17,"0.02682"
"321","GO:0048545","response to steroid hormone",299,23,15.88,"0.02780"
"322","GO:0043268","positive regulation of potassium ion tra...",34,8,1.81,"0.02799"
"323","GO:0048167","regulation of synaptic plasticity",140,13,7.44,"0.02817"
"324","GO:0060361","flight",13,3,0.69,"0.02858"
"325","GO:0043056","forward locomotion",13,3,0.69,"0.02858"
"326","GO:0010715","regulation of extracellular matrix disas...",13,3,0.69,"0.02858"
"327","GO:0032769","negative regulation of monooxygenase act...",13,3,0.69,"0.02858"
"328","GO:0071420","cellular response to histamine",13,3,0.69,"0.02858"
"329","GO:0021535","cell migration in hindbrain",13,3,0.69,"0.02858"
"330","GO:0031505","fungal-type cell wall organization",13,3,0.69,"0.02858"
"331","GO:0048800","antennal morphogenesis",13,3,0.69,"0.02858"
"332","GO:0032927","positive regulation of activin receptor ...",13,3,0.69,"0.02858"
"333","GO:0071634","regulation of transforming growth factor...",13,3,0.69,"0.02858"
"334","GO:0021903","rostrocaudal neural tube patterning",13,3,0.69,"0.02858"
"335","GO:0007474","imaginal disc-derived wing vein specific...",33,5,1.75,"0.02869"
"336","GO:0045773","positive regulation of axon extension",69,8,3.66,"0.02906"
"337","GO:0007187","G protein-coupled receptor signaling pat...",109,11,5.79,"0.02966"
"338","GO:0045494","photoreceptor cell maintenance",45,6,2.39,"0.03053"
"339","GO:0007411","axon guidance",393,50,20.87,"0.03108"
"340","GO:0060788","ectodermal placode formation",23,4,1.22,"0.03115"
"341","GO:0071361","cellular response to ethanol",23,4,1.22,"0.03115"
"342","GO:0007527","adult somatic muscle development",23,4,1.22,"0.03115"
"343","GO:1902667","regulation of axon guidance",73,10,3.88,"0.03150"
"344","GO:0060325","face morphogenesis",34,5,1.81,"0.03222"
"345","GO:0008078","mesodermal cell migration",40,5,2.12,"0.03486"
"346","GO:0046058","cAMP metabolic process",14,3,0.74,"0.03497"
"347","GO:0002467","germinal center formation",14,3,0.74,"0.03497"
"348","GO:0032717","negative regulation of interleukin-8 pro...",14,3,0.74,"0.03497"
"349","GO:0072176","nephric duct development",14,3,0.74,"0.03497"
"350","GO:2000257","regulation of protein activation cascade",14,3,0.74,"0.03497"
"351","GO:0033564","anterior/posterior axon guidance",14,3,0.74,"0.03497"
"352","GO:0048745","smooth muscle tissue development",14,3,0.74,"0.03497"
"353","GO:0048867","stem cell fate determination",14,3,0.74,"0.03497"
"354","GO:0009967","positive regulation of signal transducti...",1025,60,54.44,"0.03564"
"355","GO:0007611","learning or memory",369,46,19.6,"0.03569"
"356","GO:0060439","trachea morphogenesis",24,4,1.27,"0.03586"
"357","GO:1903831","signal transduction involved in cellular...",24,4,1.27,"0.03586"
"358","GO:0014017","neuroblast fate commitment",18,5,0.96,"0.03628"
"359","GO:0019233","sensory perception of pain",100,20,5.31,"0.03655"
"360","GO:0021575","hindbrain morphogenesis",40,4,2.12,"0.03659"
"361","GO:0060674","placenta blood vessel development",25,3,1.33,"0.03662"
"362","GO:0021537","telencephalon development",216,24,11.47,"0.03835"
"363","GO:0030336","negative regulation of cell migration",174,15,9.24,"0.03864"
"364","GO:0000122","negative regulation of transcription by ...",534,38,28.36,"0.03870"
"365","GO:0046717","acid secretion",69,8,3.66,"0.03969"
"366","GO:0050900","leukocyte migration",181,14,9.61,"0.03998"
"367","GO:2000273","positive regulation of signaling recepto...",36,5,1.91,"0.04007"
"368","GO:0007628","adult walking behavior",36,5,1.91,"0.04007"
"369","GO:0001568","blood vessel development",445,25,23.63,"0.04131"
"370","GO:0021983","pituitary gland development",31,7,1.65,"0.04135"
"371","GO:0007480","imaginal disc-derived leg morphogenesis",61,7,3.24,"0.04183"
"372","GO:0060914","heart formation",26,4,1.38,"0.04195"
"373","GO:0050850","positive regulation of calcium-mediated ...",27,4,1.43,"0.04196"
"374","GO:2001224","positive regulation of neuron migration",15,3,0.8,"0.04204"
"375","GO:0001976","nervous system process involved in regul...",15,3,0.8,"0.04204"
"376","GO:0046929","negative regulation of neurotransmitter ...",15,3,0.8,"0.04204"
"377","GO:0032225","regulation of synaptic transmission, dop...",15,3,0.8,"0.04204"
"378","GO:0007377","germ-band extension",15,3,0.8,"0.04204"
